case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.07539200037717819,0.06219519972801209,1.2121835882331349,14.353602644659038,2,20,1.0,0.0,0,True
2,b1_l1024_d128,1,1024,128,64,0.3019520044326782,0.35622398853302,0.8476464644510849,56.896026294901915,2,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.0522880554199219,1.2370047569274902,0.8506742189364144,65.30481495257216,2,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,3.907072067260742,4.600563049316406,0.8492595417948442,70.35393824632408,2,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,15.197823524475098,17.78265635172526,0.8546430422921947,72.34665055856904,2,12,1.0,0.00048828125,0,True
6,b16_l1024_d128,16,1024,128,1024,4.004096031188965,4.731148910522461,0.8463263589703399,68.64917944097823,2,20,1.0,0.0009765625,0,True
7,b1_l8192_d128,1,8192,128,512,15.416704177856445,18.10634404962713,0.851453177715019,71.31949962140853,2,11,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.6891520023345947,0.7914624214172363,0.8707324361661557,49.85799685933115,2,20,1.0,0.00048828125,0,True
9,b4_l1024_d256,4,1024,256,256,2.693120002746582,3.108992004394531,0.8662357442347495,51.03335660194596,2,20,1.0,0.00048828125,0,True
10,b1_l4096_d256,1,4096,256,256,10.201600074768066,12.012829948874082,0.8492253797136473,53.88917521357538,2,17,1.0,0.000244140625,0,True
11,b16_l1024_d256,16,1024,256,1024,10.507648468017578,12.301326976102942,0.854188209811036,52.31958563909966,2,17,1.0,0.0009765625,0,True
12,b1_l16384_d128,1,16384,128,1024,60.432640075683594,71.19044494628906,0.8488869555637433,72.77601153277517,2,3,1.0,0.0001220703125,0,True
13,b16_l4096_d128,16,4096,128,4096,60.76211166381836,70.320556640625,0.864073246381491,72.38139674008198,2,3,1.0,0.000244140625,0,True
14,b16_l8192_d128,16,8192,128,8192,241.78994750976562,284.8199768066406,0.848922011091633,72.75813666201103,1,1,1.0,0.000244140625,0,True
15,b4_l16384_d128,4,16384,128,4096,241.4187469482422,284.70758056640625,0.8479533508308985,72.87000809505317,1,1,1.0,0.000244140625,0,True
16,b64_l1024_d128,64,1024,128,4096,15.820287704467773,18.723351218483664,0.8449495776616106,69.5001031786223,2,11,1.0,0.0009765625,0,True
17,b4_l4096_d256,4,4096,256,1024,39.751808166503906,47.05433654785156,0.8448064744485048,55.31882339392462,2,5,1.0,0.00048828125,0,True
18,b16_l4096_d256,16,4096,256,4096,159.5827178955078,189.03616333007812,0.8441914768279478,55.119333335126804,2,2,1.0,0.00048828125,0,True
19,b64_l1024_d256,64,1024,256,4096,42.220542907714844,49.302835083007814,0.8563512186800415,52.084201294109334,2,5,1.0,0.0009765625,0,True
20,b4_l8192_d256,4,8192,256,2048,158.06771850585938,187.7270965576172,0.8420080073914382,55.6476243558987,2,2,1.0,0.000244140625,0,True
