case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
2,b1_l1024_d128,1,1024,128,64,0.2892799973487854,0.36299519538879393,0.7969251412238273,59.388375765525886,1,20,1.0,0.001953125,0,True
3,b4_l1024_d128,4,1024,128,256,0.8320000171661377,1.2267519950866699,0.6782137061919814,82.59552321893494,1,20,1.0,0.001953125,0,True
4,b1_l4096_d128,1,4096,128,256,2.825216054916382,4.584064102172851,0.6163125104592727,97.29447291850944,1,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,10.594559669494629,17.785067240397137,0.5956997252970776,103.78077636788163,1,12,1.0,0.0009765625,0,True
6,b16_l1024_d128,16,1024,128,1024,2.975231885910034,4.736742401123047,0.6281177302790687,92.388733881804,1,20,1.0,0.001953125,0,True
7,b1_l8192_d128,1,8192,128,512,10.559743881225586,18.00439453125,0.5865092471117077,104.12294466069838,1,12,1.0,0.00048828125,0,True
12,b1_l16384_d128,1,16384,128,1024,41.531646728515625,70.72750854492188,0.5872064149147458,105.89627085709321,1,3,1.0,0.000244140625,0,True
13,b16_l4096_d128,16,4096,128,4096,41.424129486083984,70.03170267740886,0.5915053883081836,106.1711269655402,1,3,1.0,0.0009765625,0,True
14,b16_l8192_d128,16,8192,128,8192,163.71507263183594,282.52593994140625,0.5794691725148821,107.45611727502623,1,1,1.0,0.00048828125,0,True
15,b4_l16384_d128,4,16384,128,4096,162.9969940185547,281.886474609375,0.5782363068126211,107.92951213820177,1,1,1.0,0.00048828125,0,True
21,b16_l16384_d128,16,16384,128,16384,650.0905151367188,1123.75244140625,0.578499757760885,108.24453293687102,1,1,1.0,0.00048828125,0,True
22,b4_l8192_d128,4,8192,128,2048,41.107967376708984,70.75149027506511,0.5810191024512826,106.98769099432175,1,3,1.0,0.00048828125,0,True
