case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,2.3989760875701904,0.06334720253944397,37.87027668785274,0.45108695397462484,1,20,1.0,0.00390625,0,True
2,b1_l1024_d128,1,1024,128,64,34.5530891418457,0.3581311941146851,96.48165172336454,0.49720212029303706,1,20,1.0,0.001953125,0,True
3,b4_l1024_d128,4,1024,128,256,134.6280975341797,1.2352000236511231,108.99295252297114,0.5104393361761154,1,20,1.0,0.001953125,0,True
4,b1_l4096_d128,1,4096,128,256,517.6294555664062,4.600883102416992,112.50654364473613,0.5310321968505831,1,20,1.0,0.0009765625,0,True
5,b4_l4096_d128,4,4096,128,1024,2058.6787109375,17.777706146240234,115.80114408477188,0.5340860727487168,1,12,1.0,0.0009765625,0,True
6,b16_l1024_d128,16,1024,128,1024,534.761962890625,4.730867385864258,113.03676879391793,0.5140191824006392,1,20,1.0,0.001953125,0,True
7,b1_l8192_d128,1,8192,128,512,2072.185546875,18.090309836647727,114.54671399143885,0.5306048145322411,1,11,1.0,0.0009765625,0,True
8,b1_l1024_d256,1,1024,256,64,42.21286392211914,0.789299201965332,53.481447614555215,0.813963687263489,1,20,1.0,0.001953125,0,True
9,b4_l1024_d256,4,1024,256,256,165.77127075195312,3.112857627868652,53.25372714378053,0.8290878923022353,1,20,1.0,0.001953125,0,True
10,b1_l4096_d256,1,4096,256,256,717.3724365234375,11.98388671875,59.86141669722528,0.766346441399744,1,17,1.0,0.0009765625,0,True
11,b16_l1024_d256,16,1024,256,1024,660.1036987304688,12.304767608642578,53.64617355851788,0.8328325003257926,1,16,1.0,0.001953125,0,True
12,b1_l16384_d128,1,16384,128,1024,8235.150390625,71.23055013020833,115.61261811920973,0.5340578255997355,1,3,1.0,0.00048828125,0,True
