case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.07458133498827617,0.061926400661468504,1.2043544302855267,14.509619815334606,3,20,1.0,0.0009765625,0,True
2,b1_l1024_d128,1,1024,128,64,0.3797333240509033,0.3655936002731323,1.0386760702791495,45.24193189243785,3,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.227946678797404,1.2367232322692872,0.9929033810937805,55.96291591691976,3,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,4.536149342854817,4.599219131469726,0.9862868485253595,60.59719073777366,3,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,17.4923095703125,17.77335484822591,0.9841872690714064,62.85685851581675,3,12,1.0,0.00048828125,0,True
6,b16_l1024_d128,16,1024,128,1024,4.689578692118327,4.732160186767578,0.9910016793665776,58.614627238472686,3,20,1.0,0.00048828125,0,True
7,b1_l8192_d128,1,8192,128,512,17.70777638753255,18.10234208540483,0.9782036105598513,62.0920212517552,3,11,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.7683413028717041,0.789247989654541,0.9735106239649873,44.71936916521239,3,20,1.0,0.000244140625,0,True
9,b4_l1024_d256,4,1024,256,256,2.9825706481933594,3.1150976181030274,0.957456559582755,46.080703421141514,3,20,1.0,0.0009765625,0,True
10,b1_l4096_d256,1,4096,256,256,11.344725290934244,11.98104050580193,0.9468898202489555,48.45915610907907,3,17,1.0,0.000244140625,0,True
11,b16_l1024_d256,16,1024,256,1024,11.72445805867513,12.304203706629137,0.9528823106495176,46.8896567446225,3,17,1.0,0.0009765625,0,True
12,b1_l16384_d128,1,16384,128,1024,69.65162658691406,71.2086181640625,0.9781347873713659,63.14348604071641,3,3,1.0,0.000244140625,0,True
