case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.06722559928894042,0.06214399933815003,1.0817713698009588,16.097243125328724,5,20,1.0,0.0009765625,0,True
2,b1_l1024_d128,1,1024,128,64,0.3579391956329346,0.35796480178833007,0.9999284673932533,47.99661337345658,5,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.224294376373291,1.2359807968139649,0.990544820380059,56.129863913584806,5,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,4.532377624511719,4.599795150756836,0.9853433633378165,60.6476180310799,5,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,17.489715576171875,17.781482696533203,0.9835915190346746,62.866181155855,5,12,1.0,0.00048828125,0,True
6,b16_l1024_d128,16,1024,128,1024,4.678400039672852,4.733324813842773,0.9883961535854686,58.754682073579474,5,20,1.0,0.00048828125,0,True
7,b1_l8192_d128,1,8192,128,512,17.691494750976563,18.093195134943183,0.9777982616685087,62.14916507918628,5,11,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.7588863849639893,0.7907968044281006,0.959647763767598,45.27652498289377,5,20,1.0,0.000244140625,0,True
9,b4_l1024_d256,4,1024,256,256,2.969651222229004,3.1112064361572265,0.9545015038915056,46.28117687464964,5,20,1.0,0.0009765625,0,True
10,b1_l4096_d256,1,4096,256,256,11.338393402099609,11.98567917767693,0.945995069116911,48.48621796684157,5,17,1.0,0.000244140625,0,True
11,b16_l1024_d256,16,1024,256,1024,11.69955825805664,12.303149055032168,0.9509401378236045,46.989450521298345,5,17,1.0,0.0009765625,0,True
12,b1_l16384_d128,1,16384,128,1024,69.59539286295573,71.2062276204427,0.9773778950055695,63.19450656402565,3,3,1.0,0.000244140625,0,True
