case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.07464960217475891,0.06164479851722717,1.2109635195562758,14.496350743660141,5,20,1.0,0.0009765625,0,True
2,b1_l1024_d128,1,1024,128,64,0.4783616065979004,0.35912959575653075,1.3320027428822716,35.9139800248246,5,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.5313407897949218,1.2373120307922363,1.2376350925921429,44.87536490502742,5,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,5.782988739013672,4.6035713195800785,1.2561961871682648,47.53215324276808,5,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,22.963352966308594,17.772117614746094,1.2920999885379538,47.88114476963286,5,12,1.0,0.00048828125,0,True
7,b1_l8192_d128,1,8192,128,512,22.954290771484374,18.08900324503581,1.2689638262840024,47.900047913564805,5,12,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.7600128173828125,0.7944831848144531,0.9566128420456236,45.20941960731864,5,20,1.0,0.000244140625,0,True
9,b4_l1024_d256,4,1024,256,256,2.968115234375,3.1239423751831055,0.9501184330268025,46.30512720000263,5,20,1.0,0.0009765625,0,True
10,b1_l4096_d256,1,4096,256,256,11.3328125,11.98707939596737,0.9454189903682897,48.51009525552461,5,17,1.0,0.000244140625,0,True
12,b1_l16384_d128,1,16384,128,1024,90.87061564127605,71.23831685384114,1.2755862245835239,48.39899542956635,3,3,1.0,0.000244140625,0,True
