case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.06220800280570984,0.06156799793243408,1.0103950898968341,17.395620614598382,5,20,1.0,0.0009765625,0,True
2,b1_l1024_d128,1,1024,128,64,0.30817279815673826,0.35809280872344973,0.8605947694267605,55.74751985495563,5,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.0971648216247558,1.2368000030517579,0.8870996271972369,62.63368582510288,5,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,4.058777618408203,4.5989631652832035,0.8825418844506584,67.7243083477442,5,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,15.784652709960938,17.78331756591797,0.88761012400816,69.65700468545316,5,12,1.0,0.00048828125,0,True
7,b1_l8192_d128,1,8192,128,512,16.00194549560547,18.09631486372514,0.8842654217783352,68.71112191189209,5,11,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.68853759765625,0.7897344112396241,0.8718596883418968,49.9024867849758,5,20,1.0,0.000244140625,0,True
9,b4_l1024_d256,4,1024,256,256,2.6947071075439455,3.1137279510498046,0.8654279210986995,51.003299426209956,5,20,1.0,0.0009765625,0,True
10,b1_l4096_d256,1,4096,256,256,10.201036834716797,11.987470739028034,0.8509749101205244,53.89215065051399,5,17,1.0,0.000244140625,0,True
12,b1_l16384_d128,1,16384,128,1024,62.79897689819336,71.20503234863281,0.8819457674103444,70.03372870602492,4,3,1.0,0.000244140625,0,True
