case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.061900800466537474,0.06164479851722717,1.0041528556418067,17.481951894709184,5,20,1.0,0.0009765625,0,True
2,b1_l1024_d128,1,1024,128,64,0.2994175910949707,0.3582848072052002,0.8356971467212828,57.37762140551992,5,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.0488320350646974,1.2377984046936035,0.8473367158073841,65.52000171482274,5,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,3.9046657562255858,4.601561737060547,0.8485522914487431,70.39729495558886,5,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,15.19815673828125,17.77416483561198,0.8550700907100013,72.34506438577124,5,12,1.0,0.00048828125,0,True
7,b1_l8192_d128,1,8192,128,512,15.396453857421875,18.098478837446734,0.850704304804102,71.41330321631038,5,11,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.6863359928131103,0.7905280113220214,0.8681994603395925,50.06256225492195,5,20,1.0,0.000244140625,0,True
9,b4_l1024_d256,4,1024,256,256,2.678937530517578,3.114227294921875,0.8602254353386185,51.30353056252358,5,20,1.0,0.0009765625,0,True
10,b1_l4096_d256,1,4096,256,256,10.167142486572265,12.005375581629137,0.8468825000469147,54.07181168298388,5,17,1.0,0.000244140625,0,True
12,b1_l16384_d128,1,16384,128,1024,60.411136627197266,71.23848470052083,0.8480126560967628,72.80191627985339,4,3,1.0,0.000244140625,0,True
