case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.06251519918441772,0.06256639957427979,0.9991816631576942,17.310139455969797,5,20,1.0,0.0009765625,0,True
2,b1_l1024_d128,1,1024,128,64,0.3009023904800415,0.35697920322418214,0.8429129421611586,57.09449219260862,5,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.0540032386779785,1.2372096061706543,0.8519197017393629,65.19854419251489,5,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,3.9251968383789064,4.600665664672851,0.853180197056989,70.02907580490249,5,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,15.275724792480469,17.809919993082683,0.8577087824321228,71.97770598205845,5,12,1.0,0.00048828125,0,True
7,b1_l8192_d128,1,8192,128,512,15.657728576660157,18.66505293412642,0.838879409124643,70.22165586743932,5,11,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.8193535804748535,0.9363455772399902,0.8750546810826116,41.93517815359632,5,20,1.0,0.000244140625,0,True
9,b4_l1024_d256,4,1024,256,256,3.084339141845703,3.4243839263916014,0.9006989894079382,44.56025980001505,5,20,1.0,0.0009765625,0,True
10,b1_l4096_d256,1,4096,256,256,11.191500854492187,13.200042724609375,0.8478382296162889,49.122617335755464,5,15,1.0,0.000244140625,0,True
12,b1_l16384_d128,1,16384,128,1024,63.446014404296875,73.79874165852864,0.8597167509693528,69.31950812667822,4,3,1.0,0.000244140625,0,True
