case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,partial_page_b1_l257_d128,1,257,128,17,0.06174719929695129,0.0632960021495819,0.975530794994438,17.525439668863328,5,20,1.0,0.0009765625,0,True
2,b1_l1024_d128,1,1024,128,64,0.3067903995513916,0.3601664066314697,0.8518018168898976,55.99871837293962,5,20,1.0,0.00048828125,0,True
3,b4_l1024_d128,4,1024,128,256,1.062553596496582,1.2375167846679687,0.8586175231406417,64.6738921806671,5,20,1.0,0.00048828125,0,True
4,b1_l4096_d128,1,4096,128,256,3.9710208892822267,4.6042625427246096,0.8624662152589463,69.22096725451499,5,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,15.460812377929688,17.775146484375,0.8697994354938399,71.1160319974876,5,12,1.0,0.00048828125,0,True
7,b1_l8192_d128,1,8192,128,512,15.688703918457032,18.09664026896159,0.866940143876622,70.08301217811088,5,12,1.0,0.000244140625,0,True
8,b1_l1024_d256,1,1024,256,64,0.694220781326294,0.792460823059082,0.8760316739021131,49.4939640129419,5,20,1.0,0.000244140625,0,True
9,b4_l1024_d256,4,1024,256,256,2.7217920303344725,3.1240447998046874,0.871239756390381,50.49575865467963,5,20,1.0,0.0009765625,0,True
10,b1_l4096_d256,1,4096,256,256,10.262322998046875,11.989278456744026,0.855958349376252,53.57030898293004,5,17,1.0,0.000244140625,0,True
12,b1_l16384_d128,1,16384,128,1024,61.557376861572266,71.19300333658855,0.8646548674248133,71.44629507189933,4,3,1.0,0.000244140625,0,True
