case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
2,b1_l1024_d128,1,1024,128,64,0.2754559914271037,0.36154880523681643,0.761877753258453,62.36883465483254,3,20,1.0,0.001953125,0,True
3,b4_l1024_d128,4,1024,128,256,0.8580266634623209,1.2277503967285157,0.6988608317689272,80.09014132346684,3,20,1.0,0.001953125,0,True
4,b1_l4096_d128,1,4096,128,256,3.1738878885904946,4.595084762573242,0.6907136761527597,86.60605433863377,3,20,1.0,0.0009765625,0,True
5,b4_l4096_d128,4,4096,128,1024,12.037461598714193,17.814464569091797,0.6757127923787988,91.34082121545016,3,12,1.0,0.0009765625,0,True
6,b16_l1024_d128,16,1024,128,1024,3.1833600997924805,4.738252639770508,0.6718426267677156,86.34835467150542,3,20,1.0,0.001953125,0,True
7,b1_l8192_d128,1,8192,128,512,12.276223500569662,18.086958451704547,0.6787334384246749,89.56432144828405,3,11,1.0,0.00048828125,0,True
12,b1_l16384_d128,1,16384,128,1024,47.8459726969401,71.1846415201823,0.6721389849715658,91.9209342646569,3,3,1.0,0.00048828125,0,True
13,b16_l4096_d128,16,4096,128,4096,47.65278116861979,70.3300272623698,0.6775595435339251,92.29359553100318,3,3,1.0,0.0009765625,0,True
14,b16_l8192_d128,16,8192,128,8192,190.0748748779297,284.78131103515625,0.6674415332488758,92.553979350054,2,1,1.0,0.00048828125,0,True
15,b4_l16384_d128,4,16384,128,4096,190.2090301513672,284.96026611328125,0.6674931657866741,92.48870061750615,2,1,1.0,0.00048828125,0,True
16,b64_l1024_d128,64,1024,128,4096,12.526677449544271,18.725817593661223,0.6689522306243446,87.77360415039672,3,11,1.0,0.001953125,0,True
