case_id,online_baseline_ms,online_anchor_ms,online_anchor_raw_score,inferred_hardware_ms,local_anchor_ms,local_candidate_ms,local_ratio,projected_online_ms_raw,bias_factor,projected_online_ms_corrected,projected_raw_score,projected_display_score
1,1.592,0.927,63.1997,1.678068441063796e-06,0.7734015941619873,0.7753215789794922,1.0024825198603131,0.9293012959105102,1.0,0.9293012959105102,63.14201494467151,63.14201494467151
2,0.25,0.103,70.8215,-2.521432173466553e-07,0.10309120416641235,0.10839040279388427,1.0514030141593635,0.10829451045841444,1.0,0.10829451045841444,69.7749736543917,69.7749736543917
3,1.612,1.078,59.925700000000006,6.699779361684606e-06,1.080396842956543,1.0857215881347657,1.0049285086428534,1.083312932316996,1.0,1.083312932316996,59.807575396675205,59.807575396675205
4,22.077,13.669,61.7608,6.61859737496819e-05,13.670975685119629,13.673824310302734,1.0002083702910982,13.671848213509023,1.0,13.671848213509023,61.75587932129178,61.75587932129178
5,0.619,0.324,65.6416,9.206219311159613e-07,0.3249151945114136,0.3295743942260742,1.0143397409335282,0.32864607606246315,1.0,0.32864607606246315,65.31977472501148,65.31977472501148
6,6.042,4.275,58.563500000000005,-2.1632510069664893e-05,4.285209655761719,4.289408111572266,1.000979755052335,4.279188452848732,1.0,4.279188452848732,58.5397343812142,58.5397343812142
7,2.015,1.256,61.602000000000004,6.119634546780504e-06,1.2588031768798829,1.262515163421631,1.0029488220318514,1.2597037204720054,1.0,1.2597037204720054,61.53232730264024,61.53232730264024
8,6.59,4.51,59.369400000000006,1.8144171455844576e-05,4.5163520812988285,4.519500732421875,1.0006971668874276,4.513144222662298,1.0,4.513144222662298,59.35258753505494,59.35258753505494
9,0.497,0.241,67.3442,5.650303848095762e-07,0.2427903890609741,0.24542720317840577,1.0108604550930946,0.2436173696774358,1.0,0.2436173696774358,67.10620269775018,67.10620269775018
10,0.396,0.192,67.3469,-6.571779395606296e-07,0.1913599967956543,0.19376640319824218,1.0125752845050346,0.19441445462496665,1.0,0.19441445462496665,67.07149063133959,67.07149063133959
11,0.393,0.22,64.1109,-6.484348978867541e-07,0.22177278995513916,0.22151679992675782,0.9988457103847901,0.21974605628465382,1.0,0.21974605628465382,64.13746977636276,64.13746977636276
12,1.165,0.655,64.011,7.137249303797082e-07,0.5623295783996582,0.5669888019561767,1.0082855743953185,0.6604270512289336,1.0,0.6604270512289336,63.820693163232754,63.820693163232754
13,0.142,0.032,81.6092,1.2654543624374051e-08,0.032204800844192506,0.032204800844192506,1.0,0.032,1.0,0.032,81.6092,81.6092
14,0.101,0.005,95.283,-2.2083342539827752e-08,0.008524800091981888,0.008499199897050858,0.996996974163053,0.004984984870815265,1.0,0.004984984870815265,95.29649894949411,95.29649894949411
15,0.101,0.011,90.1786,3.982219390727802e-08,0.012057600170373916,0.011878400295972823,0.9851380148728605,0.010836518163601464,1.0,0.010836518163601464,90.3104225376903,90.3104225376903
