case_id,online_baseline_ms,online_anchor_ms,online_anchor_raw_score,inferred_hardware_ms,local_anchor_ms,local_candidate_ms,local_ratio,projected_online_ms_raw,bias_factor,projected_online_ms_corrected,projected_raw_score,projected_display_score
1,1.592,0.927,63.1997,1.678068441063796e-06,0.7734015941619873,0.7770112037658692,1.0046671866610168,0.9313264820347626,1.0,0.9313264820347626,63.091337989662904,63.091337989662904
2,0.25,0.103,70.8215,-2.521432173466553e-07,0.10309120416641235,0.10828800201416015,1.0504097113790523,0.10819220027204238,1.0,0.10819220027204238,69.7949034030098,69.7949034030098
3,1.612,1.078,59.925700000000006,6.699779361684606e-06,1.080396842956543,1.0858752250671386,1.005070712809197,1.0834662284083143,1.0,1.0834662284083143,59.804174013634324,59.804174013634324
4,22.077,13.669,61.7608,6.61859737496819e-05,13.670975685119629,13.687744140625,1.0012265734276466,13.685766032182503,1.0,13.685766032182503,61.73184565703257,61.73184565703257
5,0.619,0.324,65.6416,9.206219311159613e-07,0.3249151945114136,0.33018879890441893,1.0162307102963757,0.32925875013602574,1.0,0.32925875013602574,65.27757125452824,65.27757125452824
6,6.042,4.275,58.563500000000005,-2.1632510069664893e-05,4.285209655761719,4.289843368530273,1.0010813269689907,4.279622672792436,1.0,4.279622672792436,58.53727168572294,58.53727168572294
7,2.015,1.256,61.602000000000004,6.119634546780504e-06,1.2588031768798829,1.2623104095458983,1.0027861644540084,1.2594994225542344,1.0,1.2594994225542344,61.536166354571094,61.536166354571094
8,6.59,4.51,59.369400000000006,1.8144171455844576e-05,4.5163520812988285,4.521395111083985,1.0011166157319837,4.5150359369512465,1.0,4.5150359369512465,59.34247694149538,59.34247694149538
9,0.497,0.241,67.3442,5.650303848095762e-07,0.2427903890609741,0.24696319103240966,1.0171868498896288,0.24514203082340053,1.0,0.24514203082340053,66.96833909287224,66.96833909287224
10,0.396,0.192,67.3469,-6.571779395606296e-07,0.1913599967956543,0.19504640102386475,1.019264236464986,0.1956987334012773,1.0,0.1956987334012773,66.92591266115038,66.92591266115038
11,0.393,0.22,64.1109,-6.484348978867541e-07,0.22177278995513916,0.22120959758758546,0.9974604983430672,0.21944130963547478,1.0,0.21944130963547478,64.1693840795049,64.1693840795049
12,1.165,0.655,64.011,7.137249303797082e-07,0.5623295783996582,0.5662464141845703,1.0069653739290383,0.6595623199235201,1.0,0.6595623199235201,63.850940304634875,63.850940304634875
13,0.142,0.032,81.6092,1.2654543624374051e-08,0.032204800844192506,0.03192319869995117,0.991255895491988,0.031720188655743616,1.0,0.031720188655743616,81.74064806863969,81.74064806863969
14,0.101,0.005,95.283,-2.2083342539827752e-08,0.008524800091981888,0.008345600217580795,0.9789789939391492,0.004894894969695746,1.0,0.004894894969695746,95.37757224947816,95.37757224947816
15,0.101,0.011,90.1786,3.982219390727802e-08,0.012057600170373916,0.011929599940776825,0.9893842698556555,0.01088322696841221,1.0,0.01088322696841221,90.27271988094905,90.27271988094905
