case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9135786692301432,1.208524799346924,0.7559453225319274,74.53744496178217,3,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.18030933539072672,0.1730944037437439,1.0416820618745368,47.686511524029555,3,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6430932680765789,1.853580856323242,0.886442726504963,83.66689254647527,3,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.322240193684895,26.590335845947266,0.8018793112361046,103.13913797534907,3,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.48051198323567706,0.5500927925109863,0.8735107781403633,71.57634772894123,3,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.606997172037761,6.928742472330729,0.8092373463768885,98.07210789374315,3,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6645973523457844,2.01395206451416,0.8265327569985371,82.64651569109436,3,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.8492584228515625,7.210532597133091,0.8112103154733991,94.0331593480629,3,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3579733371734619,0.3959680080413818,0.9040461095434024,72.03492080055304,3,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.3009706735610962,0.30808320045471194,0.9769136165713739,65.81936225749479,3,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3457706769307454,0.3409663915634155,1.014090202102621,62.131425598888725,3,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6900906562805176,0.8711296081542969,0.7921790854321265,68.3001251778152,3,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.051370665431022644,0.04940800070762634,1.0397236215853065,10.720106570148378,3,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.019797333826621372,0.019174399971961974,1.0324877886958805,0.0008275861862756752,3,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.028245332340399425,0.022668799757957457,1.2460003459373463,1.5696435597108307,3,20,1.0,0.0078125,0,True
