case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9091413021087646,1.208345603942871,0.7523851612834995,74.90124980357938,3,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17510400215784708,0.17148159742355346,1.0211241601939736,49.10409296213037,3,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.639253298441569,1.8569087982177734,0.8827861120669437,83.86288320096382,3,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.03278986612956,26.59347152709961,0.7909004976915656,104.55852444099408,3,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.48392534255981445,0.5511680126190186,0.8779996869925687,71.07148515527247,3,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.532501220703125,6.9314732869466145,0.7981710369023508,99.39266340480165,3,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6553813616434734,2.0123008728027343,0.8226311403114669,83.106632941316,3,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.772885640462239,7.214683532714844,0.8001578467420227,95.27717741173878,3,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.35575465361277264,0.3951359987258911,0.9003347069360855,72.48417056567264,3,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2995199958483378,0.30887680053710936,0.9697070007443068,66.13814792529129,3,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3473066488901774,0.34123520851135253,1.017792537895816,61.85664788350555,3,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.678826649983724,0.8709504127502441,0.7794090685830882,69.43345286919731,3,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04957866668701172,0.0502016007900238,0.9875913498133734,11.107580029865312,3,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.01826133330663045,0.018931199610233308,0.9646157497995659,0.0008971962629941804,3,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.02739199995994568,0.022707200050354003,1.2063134115700294,1.6185420584415013,3,20,1.0,0.0078125,0,True
