case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.902570645014445,1.2100735664367677,0.7458808043152215,75.44652615520215,3,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17732266585032144,0.17388800382614136,1.019752150514156,48.48970185942201,3,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.646165370941162,1.852876853942871,0.8884375491216091,83.5107519151632,3,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.13476308186849,26.57094383239746,0.7954088200698111,104.05403953482957,3,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4808533191680908,0.5504896163940429,0.8735011612351538,71.52553893046377,3,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.59172248840332,6.9304662068684895,0.8068320833685911,98.34000753013362,3,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6626346906026204,2.014566421508789,0.8253064643842356,82.74407600032497,3,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.780053456624349,7.211702619280134,0.8014825016732746,95.15902464771038,3,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3556693394978841,0.39435520172119143,0.9019009713718492,72.50155728465148,3,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.29576534032821655,0.3093247890472412,0.9561643644507463,66.97775259946549,3,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3442346652348836,0.3402623891830444,1.011674155528551,62.40866262943399,3,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6735359827677408,0.8705920219421387,0.7736528313976503,69.97885697853388,3,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04778666794300079,0.048691201210021975,0.981423065265537,11.524113977916715,3,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.01826133330663045,0.018892799317836762,0.966576365916821,0.0008971962629941804,3,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.025685332715511322,0.022707200050354003,1.1311536718993627,1.726086420255951,3,20,1.0,0.0078125,0,True
