case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9000106652577718,1.2090368270874023,0.7444030199029738,75.66112536732739,3,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17612799008687338,0.17329920530319215,1.0163231261143535,48.81860739885218,3,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.5819093386332195,1.8593664169311523,0.8507786976405273,86.90289926651371,3,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,20.859818776448567,26.60089683532715,0.7841772743821862,105.42553110590407,3,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.47385601202646893,0.5490047931671143,0.8631181693202987,72.58173775809104,3,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.511338551839192,6.9288787841796875,0.7954156398900954,99.77431552131665,3,15,1.0,0.00390625,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.653589407602946,2.017190361022949,0.8197488147645048,83.19669354887013,3,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.714944203694661,7.210660661969866,0.7925687355995209,96.2431529932373,3,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3603626489639282,0.3943295955657959,0.9138615336413416,71.55730780128991,3,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2990933259328206,0.3079040050506592,0.9713849804701665,66.2324969312403,3,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3479040066401164,0.3415679931640625,1.0185497868736506,61.75043885086087,3,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6723413467407227,0.8710016250610352,0.7719174423969744,70.10319748515506,3,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04940799872080485,0.04938240051269531,1.0005183670263853,11.145948475102074,3,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.019797333826621372,0.0191103994846344,1.0359455773040904,0.0008275861862756752,3,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.0288426677385966,0.022463999688625336,1.283950682798536,1.5371360375473098,3,20,1.0,0.00390625,0,True
