case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8878335952758789,1.2139776229858399,0.7313426363594799,76.69885453573133,10,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.16399359703063965,0.17405439615249635,0.9421973857354226,52.430847031140715,10,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6108543395996093,1.8559999465942383,0.8679172338100163,85.3413648425654,10,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,20.871270751953126,26.582080841064453,0.785163165996803,105.36768457542068,5,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4684800148010254,0.5506175994873047,0.8508264451358623,73.4146424893016,10,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.481036758422851,6.933504231770834,0.7905146626012776,100.3259156711492,10,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6483327865600585,2.0151424407958984,0.8179733368669635,83.4620122354688,10,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.710591888427734,7.210879734584263,0.7919410805090862,96.31650450430544,10,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.34513919353485106,0.39528961181640626,0.8731299361723481,74.71356911945774,10,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2857215881347656,0.3091200113296509,0.924306345958519,69.33217024769023,10,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.33679358959197997,0.34099199771881106,0.9876876637724115,63.787511852664956,10,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6684415817260743,0.8707200050354004,0.7676883244446621,70.51218759654468,10,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.040345600247383116,0.048076799511909483,0.839190641993313,13.649543063514571,10,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.01090560033917427,0.020019200444221497,0.5447570381024958,0.0015023473711159795,10,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.020428800582885744,0.022707200050354003,0.899661804959844,2.1702255019877086,10,20,1.0,0.0078125,0,True
