case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8945407867431641,1.15328000386556,0.7756492644846398,76.12377298515659,30,30,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.16640000343322753,0.13701972961425782,1.2144236738875633,51.672614318486524,30,30,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6094464619954427,1.4675285339355468,1.0967053960302273,85.41601796033478,30,30,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.05461730957031,21.85779266357422,0.9632545076089778,104.45012801445598,5,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4679338773091634,0.4691370646158854,0.9974353181671819,73.5003265798522,30,30,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.5394134521484375,5.832071640912225,0.9498191711653922,99.26863852394472,18,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6766379038492838,1.8207061767578125,0.9208723105640936,82.05300076072163,30,30,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.768888685438368,6.296144008636475,0.9162574231982518,95.34318988202224,18,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.343338680267334,0.3501482645670573,0.9805522831645531,75.10537691798017,30,30,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2666410605112712,0.27575467427571615,0.9669502836592622,74.29350061095569,30,30,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3476736068725586,0.33396053314208984,1.0410619590328485,61.79136023941782,30,30,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.670643170674642,0.8503893534342448,0.7886307230520831,70.28071002435719,30,30,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04036266803741455,0.05739519993464152,0.7032411784152216,13.643771206837082,30,30,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.007867733140786488,0.01539413332939148,0.5110864621241717,0.002082429552047846,30,30,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.0169813334941864,0.02185386617978414,0.777040243336666,2.6108140456212245,30,30,1.0,0.0078125,0,True
