case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8920319875081381,1.1533312479654947,0.7734395379312794,76.33786762089488,30,30,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.16997547149658204,0.1355178674062093,1.2542661329453146,50.58567053407409,30,30,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6304810841878254,1.4674004872639974,1.1111357113066629,84.31407713783919,30,30,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.063218688964845,21.861273193359374,0.9634946008251273,104.4074747432667,5,5,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.597084469265408,5.830610836253447,0.9599482157965296,98.24579826078104,18,17,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.794446309407552,6.294623851776123,0.9205389306578758,94.92265869320597,18,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.34896214803059894,0.35089066823323567,0.9945039284961695,73.8950660910618,30,30,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3363669395446777,0.33648640314737954,0.9996449675184959,63.86842035391681,30,30,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6662485122680664,0.8503807703653972,0.7834708115304493,70.74429036628878,30,30,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04103680054346721,0.05810346603393555,0.7062711288083832,13.41963800069369,30,30,1.0,0.0078125,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.016989866892496746,0.021896533171335855,0.7759158383454834,2.6095027277453107,30,30,1.0,0.0078125,0,True
