case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9397333145141602,1.153433609008789,0.8147268357488961,72.4629197712389,30,30,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.1678592046101888,0.13747199376424155,1.2210429194622723,51.22342394012568,30,30,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.5956565856933593,1.4667861938476563,1.0878590161171695,86.15419454071578,30,30,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,22.406451416015624,21.86060791015625,1.0249692738693592,98.1484052270808,5,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.46753279368082684,0.4698026657104492,0.9951684564705698,73.5633805047683,30,30,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.807943132188585,5.832041572122013,0.9958679238418632,94.67896277572315,18,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6748373667399088,1.8197760264078775,0.9203535723272119,82.14121199587746,30,30,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,6.006663602941177,6.294432163238525,0.9542820459678621,91.56901163479164,17,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3450965245564779,0.35064318974812825,0.9841814546701032,74.72280697448697,30,30,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2673664093017578,0.2758997281392415,0.9690709414792279,74.091946866976,30,30,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.34780158996582033,0.33328641255696617,1.0435516626600347,61.76862242093612,30,30,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6777088165283203,0.8505941390991211,0.7967475736972434,69.54797851007503,30,30,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.040396801630655926,0.05835093259811401,0.6923077289764108,13.63224279572893,30,30,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008226133386294047,0.015530666708946228,0.529670331638467,0.0019917012319904956,30,30,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.017220266660054526,0.021896533171335855,0.7864380413698138,2.574588702673412,30,30,1.0,0.0078125,0,True
