case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8792729949951172,1.153740768432617,0.7621062018893806,77.44559444405336,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.1671833610534668,0.13594112396240235,1.229821824186956,51.43049610810358,50,50,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.5932415771484374,1.4681805419921874,1.0851809648604616,86.28478560674174,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,20.532786560058593,21.86280975341797,0.9391650383294652,107.1046770416399,5,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.46744575500488283,0.4690585708618164,0.996561589624148,73.57707804971025,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.425232736687911,5.831107644473805,0.9303948867809796,101.35786947855554,19,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6325375366210937,1.820078125,0.8969601437416834,84.26953017248157,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.650417751736111,6.295375823974609,0.8975505052800323,97.34222733797039,18,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.34246143341064456,0.3499776077270508,0.978523842238878,75.2977663358647,50,50,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2665318489074707,0.27543039321899415,0.9676922208637729,74.3239424226451,50,50,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3319398498535156,0.33472511291503904,0.9916789540011884,64.72023499884241,50,50,1.0,0.0009765625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.659599380493164,0.8501248168945312,0.77588533752332,71.45743249904172,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.040663042068481446,0.056734719276428223,0.7167223630799892,13.542985964320051,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008821759819984436,0.015006719827651978,0.5878539695083206,0.0018572258069058272,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.01698304057121277,0.021570560932159425,0.7873249390512072,2.6105516155423047,50,50,1.0,0.0078125,0,True
