case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8406527837117513,1.1544148763020834,0.7282068179895598,81.0035023917189,30,30,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17012054125467937,0.13744640350341797,1.2377227553316728,50.542533762150796,30,30,1.0,0.0078125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,19.330005645751953,21.859481811523438,0.8842847150915514,113.76910662016783,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.47005866368611654,0.46996479034423827,1.0001997454783995,73.16808614970292,30,30,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.152947235107422,5.833999185001149,0.8832615623867981,106.71369345091627,20,17,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.357433118318257,6.295983791351318,0.8509286706991953,102.66563057284739,19,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3434922536214193,0.35045547485351564,0.9801309389302396,75.07179774837292,30,30,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2642517407735189,0.2759253184000651,0.9576929812231993,74.96524993179975,30,30,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3119189262390137,0.3340202649434408,0.9338323418545593,68.87438780017497,30,30,1.0,0.0009765625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6298282623291016,0.8501333236694336,0.7408582216381915,74.83512733090349,30,30,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04119040171305339,0.05616639852523804,0.7333637689898298,13.369595466350635,30,30,1.0,0.0078125,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.017092265685399375,0.021998933951059976,0.7769588164328216,2.5938693451197703,30,30,1.0,0.0078125,0,True
