case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8413030242919922,1.1527372741699218,0.7298306762031347,80.94089502805102,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.1668864059448242,0.13620736122131347,1.225237787799608,51.52201074330025,50,50,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.486719970703125,1.4670028686523438,1.0134403977470707,92.46698141747848,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,19.37335459391276,21.865625,0.8860187894886499,113.51454197668947,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4615065765380859,0.4694732666015625,0.9830305778193802,74.52394949167466,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.153740692138672,5.832402846392463,0.8836393554890388,106.69726407748496,20,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.5484364318847657,1.8208154296875,0.8504082328380302,88.84650888286396,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.360195360685649,6.296607971191406,0.8512830058993534,102.61272441264971,19,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.33736705780029297,0.3503667068481445,0.962897019626109,76.43479230051135,50,50,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2602239990234375,0.27611135482788085,0.9424603315776455,76.12556054146185,50,50,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3124480056762695,0.3335526275634766,0.9367277600498267,68.75776032399766,50,50,1.0,0.0009765625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6284953689575196,0.8505702209472656,0.7389106195812674,74.99383533434718,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.0405350399017334,0.057681918144226074,0.7027339104844059,13.58575221179073,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.007854080200195313,0.015114239454269408,0.519647728485387,0.002086049490504638,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.016855039596557618,0.021790719032287596,0.7734962564375817,2.63037673367761,50,50,1.0,0.0078125,0,True
