case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8453120231628418,1.154751968383789,0.7320290818347382,80.55702262604864,5,20,1.0,0.00390625,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.16435199975967407,0.1373568058013916,1.1965333555973605,52.316510979927315,5,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.4772735595703126,1.4684800148010253,1.005988195059283,93.05826061354945,5,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,19.35083465576172,21.86255340576172,0.8851132023152404,113.6466468967115,5,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.45102081298828123,0.4687359809875488,0.9622065113031334,76.2565535992097,5,20,1.0,0.001953125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.138175964355469,5.830911848280165,0.8811959600917274,107.02047485930701,5,18,1.0,0.00390625,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.5446016311645507,1.8215040206909179,0.8479814557744787,89.0670891602496,5,20,1.0,0.00390625,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.367193603515625,6.294464111328125,0.8526847573658106,102.47892846341942,5,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3283967971801758,0.35155200958251953,0.93413431932919,78.52263241730742,5,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.25425920486450193,0.2762495994567871,0.920396646237581,77.91142823150433,5,20,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.29265921115875243,0.33552639484405516,0.8722390120597624,73.40696711010564,5,20,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6295551776885986,0.8516480445861816,0.7392198945216876,74.86758886019975,5,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04270080029964447,0.056601601839065555,0.7544097501172314,12.896690556982023,5,20,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.010086400061845779,0.015910400450229643,0.6339501066235071,0.0016243654722735417,5,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.018483200669288637,0.0222463995218277,0.8308400939735577,2.3986702732534,5,20,1.0,0.001953125,0,True
