case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8407807922363282,1.1551026916503906,0.7278840213202475,80.99116964230019,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.1610598373413086,0.1364735984802246,1.1801538109559455,53.38589273363623,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.4847897338867186,1.467361297607422,1.0118773994569124,92.58718912619341,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,19.365973154703777,21.86076202392578,0.8858782293823266,113.5578086219669,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4499097442626953,0.4691712188720703,0.9589457455304242,76.4448719739626,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.149990463256836,5.82913522159352,0.8834913357609459,106.77496114589918,20,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.5501823425292969,1.820359649658203,0.8515802593297234,88.746444483127,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.355465939170436,6.296895980834961,0.8504929977357364,102.70334189245148,19,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3292006301879883,0.35068416595458984,0.9387382213048551,78.3308980218984,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.25378816604614257,0.27558399200439454,0.9209104062985473,78.05603429278217,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2916454315185547,0.33475582122802733,0.871218401665652,73.66213479203161,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.629488639831543,0.851932144165039,0.7388952795630123,74.87550247231357,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.040079360008239744,0.056883201599121094,0.704590439383057,13.740214611380624,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008913919925689698,0.014935040473937988,0.5968460508188583,0.0018380241393891946,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.016824320554733277,0.02170880079269409,0.7749999972543558,2.6351794627169634,50,50,1.0,0.001953125,0,True
