case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8372531127929688,1.153925094604492,0.7255697243328756,81.33241756347863,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.13675007820129395,0.13537792205810548,1.0101357453440565,62.87618488483352,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.344752655029297,1.4680320739746093,0.9160240289494898,102.22884289527951,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.66355260213216,21.860505676269533,0.8537566732681854,117.8316647511559,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4376678466796875,0.46932479858398435,0.9325478815527964,78.58309231742844,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.020979309082032,5.830490561092601,0.8611589807875666,109.51848190677657,20,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.539087371826172,1.8207846069335938,0.8452879961557718,89.38619971702154,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.322401749460321,6.295695781707764,0.8454032618482991,103.34136264699883,19,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.318023681640625,0.35088897705078126,0.9063370537131467,81.08383897378909,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2511359977722168,0.27559423446655273,0.9112527272507064,78.8803595172669,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2767923164367676,0.33422847747802736,0.8281530003826927,77.61496187668844,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6244198226928711,0.8515328216552734,0.7332892013241216,75.48331506314639,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.039772160053253174,0.0567091178894043,0.7013362495043204,13.846343956743567,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008079360127449036,0.014873600006103516,0.5432013852822181,0.0020278833647155493,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.016414719820022582,0.02165760040283203,0.7579195993419534,2.7009357750913474,50,50,1.0,0.001953125,0,True
