case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8357990264892579,1.1531468963623046,0.7247984009026549,81.47391611836869,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.13732864379882812,0.1366425609588623,1.0050210039620993,62.61128750820281,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.3463040161132813,1.4674534606933594,0.9174423940348773,102.1110434631822,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.665599822998047,21.865933227539063,0.853638380249403,117.81874111382153,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3994112014770508,0.47044609069824217,0.8490052513439733,86.10998558080288,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.817127772739956,5.832101709702435,0.8259677235611405,114.15309237338863,21,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3948825073242188,1.8220338439941406,0.7655634454442684,98.62706749682054,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.054003143310547,6.294655799865723,0.802903813012041,108.82942367616239,20,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2995968055725098,0.35007999420166014,0.8557952768930006,86.07094772830952,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.26611711502075197,0.27555839538574217,0.9657376421002388,74.43977359537821,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3797452926635742,0.3343667221069336,1.1357149726823836,56.57272256705107,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6097510528564453,0.8500940704345703,0.7172747982405511,77.29921578191463,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.038159360885620115,0.055613441467285155,0.6861535607011036,14.431557427040769,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008325120210647583,0.01486847996711731,0.5599173707775894,0.0019680196304006936,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.01641983985900879,0.021734399795532225,0.755477032422312,2.7000935685542284,50,50,1.0,0.001953125,0,True
