case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8403455734252929,1.1550848007202148,0.7275185102438568,81.03311533901207,5,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.13834240436553955,0.13628159761428832,1.0151216803099405,62.152477683421,5,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.3427200317382812,1.4664192199707031,0.9156454126161186,102.38359796124328,5,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.66608581542969,21.865113830566408,0.8536925972612762,117.81567357105692,5,5,1.0,0.001953125,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4020224094390869,0.4700928211212158,0.8551979340595448,85.55068571422797,5,20,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.818841552734375,5.830727047390408,0.8264563773210905,114.11249479742152,5,18,1.0,0.00390625,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.397862434387207,1.823103904724121,0.7667486371813442,98.41681685959973,5,20,1.0,0.00390625,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.05615348815918,6.296016216278076,0.8030718655213617,108.7831393236146,5,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.30259199142456056,0.3503360033035278,0.8637193681815161,85.21898041848497,5,20,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2549247980117798,0.27672319412231444,0.9212267111194896,77.70800622968274,5,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2786303997039795,0.3340928077697754,0.8339910145446314,77.10294752770714,5,20,1.0,0.00048828125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6119935989379883,0.8519935607910156,0.7183077749669794,77.01596599995794,5,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04136959910392761,0.05745919942855835,0.7199821702243576,13.3116834566501,5,20,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.009676799923181535,0.015590399503707886,0.6206896700036512,0.001693121706562398,5,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.019097599387168884,0.02215680032968521,0.8619294800243483,2.321501414978233,5,20,1.0,0.001953125,0,True
