case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8354713439941406,1.1536640167236327,0.7241894796778453,81.50587122528235,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.13668352127075195,0.13511167526245116,1.0116336801038661,62.906801932384084,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.3448550415039062,1.4680320739746093,0.9160937729805803,102.22106001124783,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.670677185058594,21.859429931640626,0.8541246154838447,117.7867011186878,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.399447021484375,0.4689817428588867,0.85173256223018,86.102263755008,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.816627865745907,5.829180100384881,0.826295942619423,114.16494006660062,21,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3944677734375,1.8205183410644532,0.7659729330835292,98.65640054260173,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.054374313354492,6.2946882247924805,0.8029586427246953,108.82143174294492,20,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3004211235046387,0.34940414428710936,0.8598098460382863,85.83477982899508,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.24986623764038085,0.2757939147949219,0.9059889440496878,79.28121053517859,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.27649023056030275,0.33519615173339845,0.8248609929752773,77.69976192093519,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6088038253784179,0.8513330841064453,0.7151182501234699,77.41948431204925,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.0382207989692688,0.05628416061401367,0.6790684724141121,14.408359397269173,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008570880293846131,0.015344640016555786,0.5585585771056705,0.0019115889428258225,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.016389119625091552,0.0217958402633667,0.7519379582092791,2.705154701056881,50,50,1.0,0.001953125,0,True
