case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8277350616455078,1.1535820770263672,0.7175346064488036,82.26765172980342,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.1183078384399414,0.13554688453674316,0.872818573767155,72.67754455986372,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2080742645263671,1.4683340454101563,0.8227516540276844,113.7947491646111,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.216149648030598,21.86040344238281,0.8332943029181814,120.72570305864596,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.39948799133300783,0.4689459228515625,0.8518849868739758,86.09343346025692,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.760807582310268,5.8306260950425095,0.8165173867619715,115.50351954135392,21,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3763941955566406,1.8195097351074219,0.75646432057995,99.95186818145707,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.9892223358154295,6.2952961921691895,0.7925317861964296,110.2424811569567,20,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.29863935470581054,0.3504947280883789,0.8520509176688879,86.34689496098846,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.23644672393798827,0.27525632858276367,0.8590055863761688,83.78080889458799,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2638489532470703,0.3356620788574219,0.7860552915158003,81.42243819282062,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.601267204284668,0.8511743927001953,0.7063971959697443,78.3899036437133,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03930624008178711,0.055393280982971194,0.7095849782552237,14.010472811800975,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008079360127449036,0.01484287977218628,0.5443256464684675,0.0020278833647155493,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.014254080057144165,0.021729280948638918,0.655984893878277,3.110344815116931,50,50,1.0,0.001953125,0,True
