case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8249241638183594,1.1540735626220704,0.7147933983897186,82.54797563548406,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11880448341369629,0.13615103721618652,0.8725933040455166,72.37372658790375,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2001126098632813,1.4685337829589844,0.8172182511492144,114.5496737340849,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.109141031901043,21.86040344238281,0.8283992141147384,121.4390825829876,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3996774291992187,0.4696012878417969,0.8510995168604932,86.05262716213255,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.7267608642578125,5.828954360064338,0.8109105977295111,116.33548796049422,22,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3700863647460937,1.820247039794922,0.7526925383163674,100.41204316743583,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.959475925990513,6.295599937438965,0.7877685963647837,110.9037038493434,21,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.29833728790283204,0.35014656066894534,0.8520354657571586,86.43432127866848,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2361395263671875,0.2753843116760254,0.8574908459019,83.88980064776074,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2637055969238281,0.3357440185546875,0.7854364704962705,81.46670127068055,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6000844955444335,0.8501964569091797,0.7058186265866034,78.54440259323445,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03743232011795044,0.05659135818481445,0.6614494035591977,14.71185879648202,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008642560243606568,0.01499135971069336,0.576502759615715,0.0018957345437216073,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.014535679817199706,0.021580801010131836,0.6735468164678151,3.0500880975335862,50,50,1.0,0.001953125,0,True
