case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8359986877441407,1.1521791839599609,0.7255804473665897,81.45445773336057,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11453439712524414,0.13585408210754393,0.8430692353769478,75.0719732745236,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2055039978027344,1.4662451171875,0.8221708523845522,114.03737204901054,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.2510503133138,21.867724609375,0.8346113113885347,120.4948447090607,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3958169555664062,0.46890495300292967,0.8441304640344313,86.89191384129535,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.772595723470052,5.831966175752528,0.8183510637138117,115.21822996903387,21,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3942630004882812,1.8204415893554688,0.765892741981314,98.6708900342481,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.052787017822266,6.295904159545898,0.802551450876391,108.85561718788983,20,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2947532844543457,0.3499417495727539,0.8422924238511461,87.48530500597045,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2320128059387207,0.2756300735473633,0.8417543229325897,85.38191550181995,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.25873920440673825,0.3334143829345703,0.7760289227160113,83.03042106533013,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6089011383056641,0.8498226928710938,0.7165037406197222,77.40711134019827,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03192320108413696,0.05715456008911133,0.5585416287758067,17.250745204046886,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.0075673598051071165,0.015160319805145263,0.4991556842052124,0.0021650880124588026,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010987520217895508,0.021621758937835692,0.5081695827562188,4.035041858470565,50,50,1.0,0.001953125,0,True
