case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8256256103515625,1.1536255836486817,0.7156790054363025,82.47784337383125,10,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11509759426116943,0.13706239461898803,0.8397459754086648,74.70463005933412,10,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.201356792449951,1.4670720100402832,0.8188805895199132,114.43104061005019,10,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.109994252522785,21.860557556152344,0.8284324041600661,121.4333611935658,6,5,1.0,0.001953125,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3968512058258057,0.469708776473999,0.8448877809030542,86.6654612487095,10,20,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.726988983154297,5.829020606146918,0.8109405168630751,116.32987374746557,10,18,1.0,0.00390625,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3720831871032715,1.82293758392334,0.7526769973935497,100.26591134787033,10,20,1.0,0.00390625,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.960639953613281,6.294864177703857,0.788045589797419,110.877679994366,10,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2957823991775513,0.3510400056838989,0.8425888627745025,87.1809176736068,10,20,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.23349759578704835,0.2767616033554077,0.8436777101887171,84.83897971295002,10,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2597631931304932,0.3341952085494995,0.7772798247405699,82.70311443703191,10,20,1.0,0.00048828125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6001408100128174,0.85032958984375,0.7057743458311202,78.53703234578126,10,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03330560028553009,0.05592319965362549,0.5955596334225647,16.534726991221834,10,20,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.008422400057315826,0.015462400019168853,0.5447019897864829,0.0019452887405613801,10,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.011801599711179733,0.022041599452495574,0.5354239258641252,3.756702911894314,10,20,1.0,0.001953125,0,True
