case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8251392364501953,1.1538585662841796,0.7151129788007092,82.52645949664546,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11390975952148437,0.1354854393005371,0.840752778376479,75.4836392958786,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2014540863037109,1.4677606201171876,0.8185626932869922,114.42177397468092,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.111488342285156,21.86234893798828,0.8284328639002928,121.4233436655559,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3958732986450195,0.46893566131591796,0.8441953370194276,86.87954685936154,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.727156205610796,5.8306260950425095,0.8107459007927229,116.32575859526705,22,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.370777587890625,1.820457000732422,0.7529854247252871,100.36140976866994,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.9605731055850075,6.294544219970703,0.7880750269172143,110.87917416734348,21,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.29438976287841795,0.3503104019165039,0.8403683169778824,87.59333456391205,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.23254528045654296,0.2754969596862793,0.8440938176644587,85.18641080613953,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.25900543212890625,0.33479167938232424,0.7736316285003252,82.94507536547674,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6001510238647461,0.8515532684326171,0.7047721453402367,78.53569573951482,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03225600004196167,0.05583871841430664,0.5776636885293779,17.072761882552033,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.007895039916038514,0.014750720262527465,0.535230807413179,0.0020752270000201573,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010992640256881714,0.02168832063674927,0.5068460781723916,4.033162458149663,50,50,1.0,0.001953125,0,True
