case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.572,1.093,0.37333365372292654,0.8945407867431641,0.8251392364501953,0.9224165612999656,1.0082013015008624,62.48479999999999,65.37464536592122
2,0.251,0.139,0.03582679112495672,0.16640000343322753,0.11390975952148437,0.6845538291541786,0.09515298225243084,67.5909,78.38749697561086
3,1.676,1.419,0.5728041657817299,1.6094464619954427,1.2014540863037109,0.7465014305689361,1.0592855299773205,56.591800000000006,69.39747486590426
4,22.434,19.991,9.16305931501175,21.05461730957031,18.111488342285156,0.8602145589249269,17.196549247468212,55.06870000000001,62.2919284879719
5,0.634,0.412,0.14330512417048635,0.4679338773091634,0.3958732986450195,0.846002646616386,0.348553090405951,64.617,70.50792768750092
6,6.059,5.171,2.291198889071882,5.5394134521484375,4.727156205610796,0.8533676437849912,4.4127640860121895,56.679100000000005,63.97634166334988
7,2.017,1.607,0.5732245144604383,1.6766379038492838,1.370777587890625,0.817575210928696,1.3138433639624145,58.274300000000004,66.09500227952694
8,6.63,5.444,2.2917526115679525,5.768888685438368,4.9605731055850075,0.8598836580269467,4.6812066342986975,57.9167,64.4833520886332
9,0.502,0.31,0.10744426337591895,0.343338680267334,0.29438976287841795,0.857432557989671,0.265804092976798,66.0774,71.3591298067292
10,0.408,0.264,0.08393799274621574,0.2666410605112712,0.23254528045654296,0.8721285461835802,0.23024193619246516,64.2822,68.89571976277003
11,0.43,0.319,0.08951340207244333,0.3476736068725586,0.25900543212890625,0.7449671962699369,0.23764453561010987,59.737300000000005,69.68363528407696
12,1.162,0.767,0.25510436915871065,0.670643170674642,0.6001510238647461,0.8948887427885333,0.686379665718805,63.9203,67.77128483895588
13,0.408,0.241,0.009923228198134267,0.04036266803741455,0.03225600004196167,0.7991543079377625,0.19259618821300076,63.2718,68.54532167523878
14,0.106,0.005,1.0250769714242652e-05,0.007867733140786488,0.007895039916038514,1.0034707297214323,0.0050173536486071615,95.5039,95.48896857546208
15,0.104,0.013,0.0010034624288559294,0.0169813334941864,0.010992640256881714,0.6473366924125876,0.008415377001363638,89.5676,93.28682321996135
