case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8252928161621094,1.1527833557128906,0.7159131957207533,82.5111020506256,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11410431861877442,0.13669376373291015,0.834744142693489,75.35493225920071,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.200552978515625,1.4665318298339844,0.81863410946323,114.507656358466,50,50,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.11037826538086,21.86603546142578,0.8282424263570625,121.43078631791084,6,5,1.0,0.001953125,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.39536640167236325,0.469749755859375,0.8416532350273764,86.9909346229714,50,50,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.726120688698509,5.833261377671185,0.8102021121133645,116.35124615648148,22,17,1.0,0.00390625,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3707571411132813,1.8207078552246094,0.7528704493583785,100.36290680073922,50,50,1.0,0.00390625,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.960365658714657,6.293519973754883,0.7881703211239942,110.88381123227992,21,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.294338550567627,0.349854736328125,0.8413164665336129,87.60857503127271,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.23178752899169922,0.2756198310852051,0.8409682571790142,85.46489916077161,50,50,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2589593505859375,0.3331532669067383,0.7772979475492571,82.95983535404581,50,50,1.0,0.00048828125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5996134567260742,0.8493209838867187,0.7059915722111134,78.60610478182153,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03184128046035767,0.05605887889862061,0.5679970967300446,17.2951275840059,50,50,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.008611840009689332,0.014960639476776123,0.5756331487740056,0.0019024970252078622,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010880000591278076,0.0215500807762146,0.5048705248143025,4.07491742560576,50,50,1.0,0.00390625,0,True
