case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8264191627502442,1.1536383628845215,0.7163589469094036,82.39864568167032,10,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11473920345306396,0.1381376028060913,0.830615278695168,74.93797186344675,10,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2015616416931152,1.4675071716308594,0.8187773558597362,114.41153173822035,10,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.10982386271159,21.862399291992187,0.8283548214831526,121.43450372303728,6,5,1.0,0.001953125,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.39598081111907957,0.47084798812866213,0.8409950155948747,86.85595825414184,10,20,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.728192138671875,5.831107644473805,0.810856603402413,116.30027196197261,10,17,1.0,0.00390625,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3718015670776367,1.8197376251220703,0.7538458007019636,100.28649514745312,10,20,1.0,0.00390625,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.961356735229492,6.29801607131958,0.7877650166411806,110.86166117392848,10,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2952703952789307,0.3506432056427002,0.8420821807675535,87.33209087094696,10,20,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2327039957046509,0.2756864070892334,0.8440894789177251,85.12830960213752,10,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.26004478931427,0.33527040481567383,0.775627032923584,82.61355724392938,10,20,1.0,0.00048828125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6003456115722656,0.8509951591491699,0.7054630159970532,78.5102402673704,10,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.032742398977279666,0.058329600095748904,0.5613341926488872,16.819140478440094,10,20,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.009087999910116195,0.016012799739837647,0.5675459668371734,0.0018028169192390012,10,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.011699199676513672,0.02234880030155182,0.5234822235939582,3.7895843498597106,10,20,1.0,0.00390625,0,True
