case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8254975891113281,1.1529216003417968,0.7160049641420543,82.49063434492535,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11393535614013672,0.13475839614868165,0.8454787189247158,75.46668120670415,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2011519622802735,1.467079620361328,0.8187367240398589,114.4505543187237,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.10743459065755,21.859686279296874,0.828348328484794,121.45052697937925,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3955046463012695,0.4691302490234375,0.84305935744832,86.96052782601558,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.726853804154829,5.830294440774357,0.8107401525208436,116.33320055988519,22,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3709414672851563,1.820175323486328,0.7531919862858496,100.34941278159233,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.961036318824405,6.297823905944824,0.7877381763788981,110.86882135028128,21,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2941951942443848,0.3499929428100586,0.8405746466837896,87.65126520244708,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2318592071533203,0.2754764747619629,0.8416660891049519,85.43847809718656,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2586726379394531,0.33335296630859373,0.7759722098887608,83.05178800174654,50,50,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6006476974487305,0.8507904052734375,0.7059878599073844,78.47075483382363,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03196415901184082,0.05717504024505615,0.5590579188897854,17.228640609502623,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008611840009689332,0.014725120067596435,0.5848400536060983,0.0019024970252078622,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010839040279388428,0.021585919857025147,0.5021347411266728,4.090316380160322,50,50,1.0,0.0078125,0,True
