case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8259942626953125,1.152762908935547,0.7165343855988824,82.44103240353711,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11440128326416016,0.13607935905456542,0.8406953417401626,75.15932474416306,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2011571502685547,1.4663679504394531,0.8191376181596046,114.45005998862338,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.11037826538086,21.860659790039062,0.8284460962899647,121.43078631791084,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3954790496826172,0.4690687942504883,0.8431152413678296,86.96615617844122,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.726912064985796,5.832719241871553,0.8104130970427208,116.33176671283229,22,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.370265655517578,1.8206771850585937,0.7526131852272756,100.39890487369453,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.961219060988653,6.296192169189453,0.7879713527910538,110.86473759423016,21,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2943180847167969,0.3500492858886719,0.8407904160398729,87.6146670253469,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2318899154663086,0.2760089683532715,0.8401535531610201,85.42716379953211,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2474803161621094,0.33370113372802734,0.7416226411859016,86.80781332899073,50,50,1.0,0.0009765625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.600263671875,0.8502220916748047,0.7060080863019853,78.52095739989262,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03190272092819214,0.05731840133666992,0.5565877656078678,17.261819430371922,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008857600092887878,0.015114239454269408,0.5860433877396206,0.0018497109632614108,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.01104383945465088,0.02166271924972534,0.5098085483793039,4.014464732310937,50,50,1.0,0.001953125,0,True
