case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8264960289001465,1.1559040069580078,0.7150213373472386,82.39098240631357,20,20,1.0,0.00390625,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11047680377960205,0.13556480407714844,0.8149372142103412,77.82921758990602,20,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.201535987854004,1.4677887916564942,0.8186027817380954,114.41397452400236,20,20,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.109867095947266,21.86603546142578,0.8282190490313238,121.43421382546427,6,5,1.0,0.001953125,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.38754560947418215,0.4697472095489502,0.8250088592251612,88.74643902343382,20,20,1.0,0.001953125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.726758575439453,5.829285565544577,0.8108641311686837,116.33554429313665,20,17,1.0,0.00390625,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.370803165435791,1.823948860168457,0.7515578947258345,100.35953714497312,20,20,1.0,0.00390625,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.95994873046875,6.2960638999938965,0.7877856402431936,110.89313201268088,20,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.28852479457855223,0.35063040256500244,0.822874435496401,89.37388216380648,20,20,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.22753279209136962,0.2760960102081299,0.8241074976775224,87.0630453303851,20,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.24405760765075685,0.3373311996459961,0.7234955079959312,88.02522197440453,20,20,1.0,0.0009765625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6001023769378662,0.8534784317016602,0.703125415532043,78.542062186966,20,20,1.0,0.00390625,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.0322816014289856,0.05544959902763367,0.5821791680206353,17.059222083868747,20,20,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.008038400113582611,0.015615999698638916,0.5147541155679732,0.00203821653170955,20,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.011238399893045425,0.02234880030155182,0.5028636768598748,3.9449658689788714,20,20,1.0,0.001953125,0,True
