case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8253183746337891,1.1526809692382813,0.7159989595205852,82.5085468455922,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11108863830566407,0.1362124824523926,0.8155540248999609,77.40056347023923,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2013158416748047,1.467494354248047,0.818617010823436,114.43494136591409,50,50,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.11037826538086,21.859942626953124,0.8284732752706733,121.43078631791084,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3874969482421875,0.46906368255615233,0.8261073339349815,88.75758365586927,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.726923509077593,5.831438849954044,0.8105929995501615,116.33148506845734,22,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.3705625915527344,1.819683837890625,0.7531872092360223,100.37715318359955,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.959658668154762,6.29585599899292,0.7877655824637833,110.89961752320269,21,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.28813312530517576,0.3501260757446289,0.822941063993563,89.49537115764868,50,50,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.22744064331054686,0.27553792953491213,0.8254422311093432,87.09831938415637,50,50,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.24371711730957032,0.33398784637451173,0.7297185210634347,88.14819954033813,50,50,1.0,0.0009765625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6006425476074219,0.8505241394042968,0.7062028222127935,78.47142763320551,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03182591915130615,0.05748735904693603,0.5536159545148285,17.303475364902354,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008893439769744873,0.015232000350952148,0.5838655176494233,0.0018422568122334075,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010844160318374634,0.021785600185394285,0.4977673429279622,4.088385149090559,50,50,1.0,0.001953125,0,True
