case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8387328147888183,1.15480318069458,0.7262993632251215,81.18892998498647,20,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.11293439865112305,0.1388416051864624,0.8134045879075921,76.13555570930997,20,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2265727996826172,1.4676735877990723,0.8357258792958109,112.07855574456877,20,20,1.0,0.001953125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.217173258463543,21.872947692871094,0.8328632022651865,120.71891956444396,6,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3878655910491943,0.46959362030029295,0.8259600946051275,88.6732249358974,20,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.8382209777832035,5.83439052806181,0.8292590210601595,113.65541882875118,20,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.4091391563415527,1.821567916870117,0.7735858450794335,97.62923028636249,20,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.09191665649414,6.295839786529541,0.808774814662328,108.01909898554777,20,16,1.0,0.00390625,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2886399984359741,0.35043840408325194,0.8236540147220945,89.33821068364493,20,20,1.0,0.0009765625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2277888059616089,0.27696640491485597,0.8224420071150322,86.96519439738707,20,20,1.0,0.0009765625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.24299519062042235,0.33434879779815674,0.7267715398430004,88.41008348004092,20,20,1.0,0.0009765625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.613478422164917,0.8505727767944335,0.7212533000138358,76.82956157067494,20,20,1.0,0.0078125,0,True
