case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7701333363850912,1.1564928054809571,0.6659214244439778,88.42081826457895,12,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.105813334385554,0.13533439636230468,0.7818657874845089,81.25935403065677,12,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.084714651107788,1.468288040161133,0.7387614837404446,126.73610314344262,12,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,16.277760096958705,21.861170959472656,0.744596898635267,135.10197104396968,7,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3587413231531779,0.4692224025726318,0.7645443209580082,95.87212450937666,12,20,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.319210688273112,5.834917853860294,0.7402350463966836,127.31262059268857,12,17,1.0,0.00390625,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.2612693309783936,1.8207231521606446,0.6927298801477042,109.07517357397532,12,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.532309214274089,6.295104026794434,0.7199736803367827,121.35629396417824,12,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.265557328859965,0.35326719284057617,0.7517180599892467,97.1036314557822,12,20,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2101973295211792,0.27746560573577883,0.7575617488293055,94.24333714003727,12,20,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.22282665967941284,0.33488640785217283,0.6653798256803962,96.41227454070594,12,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5642026662826538,0.8548864364624024,0.6599738189991359,83.5396233033525,12,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.032042667269706726,0.05916159749031067,0.5416126106965686,17.186428438204118,12,20,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.008383999889095625,0.015513600409030914,0.5404290215065135,0.0019541984991327723,12,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.01156266654531161,0.022195200622081756,0.5209534593622029,3.834332143563964,12,20,1.0,0.001953125,0,True
