case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7687372589111328,1.1525631713867188,0.6669805855293972,88.58139629195725,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10524160385131837,0.13607935905456542,0.7733840354812249,81.70079973455563,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.0867814636230468,1.4688255310058593,0.739898266119335,126.49507974280533,50,50,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,16.28211212158203,21.858714294433593,0.7448796805825096,135.0658598134209,7,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.35783679962158205,0.4692326354980469,0.7625999825049924,96.11446569042491,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.3166507085164385,5.828396965475643,0.7406240058949324,127.38812304898956,24,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.2603084564208984,1.8198579406738282,0.6925312290882722,109.15833381828506,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.5312815579501065,6.296463966369629,0.7196549654142976,121.38381654500937,22,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2648883247375488,0.34536960601806643,0.7669705733274409,97.34887718267436,50,50,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.20956159591674806,0.2708531188964844,0.7737093697519468,94.52923712162291,50,50,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.22151679992675782,0.3312025451660156,0.6688257779411758,96.98237377527664,50,50,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5566924667358398,0.8491725158691407,0.6555705187491341,84.66663557415364,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.031196160316467283,0.05227007865905762,0.5968263510745925,17.652781701769452,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.010690560340881347,0.017280000448226928,0.6186666703459657,0.0015325670009406892,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010839040279388428,0.019763200283050536,0.5484456021368305,4.090316380160322,50,50,1.0,0.001953125,0,True
