case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7577190399169922,1.1482418823242186,0.659894967759974,89.86948484686339,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10415103912353516,0.13153792381286622,0.7917947623356645,82.55628817876119,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.0745906829833984,1.4624461364746093,0.734789922296776,127.93011337333904,50,50,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,16.189183916364396,21.856871032714842,0.7406908286246834,135.8411569502921,7,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3562752151489258,0.46393856048583987,0.7679361999481823,96.53574354203488,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.244970639546712,5.8260179407456345,0.7286229947660314,129.53918373266265,24,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.2439500427246093,1.8156236267089845,0.6851365142121466,110.59380720681924,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.477762636931046,6.291391849517822,0.7117284607338876,122.83461494979417,23,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2635622406005859,0.34504703521728514,0.7638443855476512,97.83867724465944,50,50,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.20799999237060546,0.2701568031311035,0.7699232074110154,95.23893518565102,50,50,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2205081558227539,0.33062400817871096,0.6669453831784758,97.42598865716502,50,50,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5520742416381836,0.8461312103271484,0.6524688309567608,85.37489100766639,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03122175931930542,0.05391871929168701,0.5790523166992039,17.638308026398917,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.0077772802114486695,0.015119359493255616,0.5143921748085908,0.0021066490539818367,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010608639717102051,0.019660799503326415,0.5395833325754211,4.179150690594946,50,50,1.0,0.001953125,0,True
