case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7627827453613282,1.1537664031982422,0.6611240743766618,89.27288954831194,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10383872032165527,0.13439488410949707,0.7726389364423543,82.80459517765112,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.0791629028320313,1.4679347229003907,0.7351572832201884,127.38809640623573,50,50,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,16.189256940569198,21.85779266357422,0.740662938373847,135.84054421726162,7,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3564441680908203,0.46838783264160155,0.7610021935893504,96.4899860312394,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.249397277832031,5.828803567325368,0.7290342226752942,129.40424151082064,24,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.2489421081542968,1.8197299194335939,0.6863337766865099,110.15175987885254,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.481680828592052,6.294816017150879,0.7119637518207439,122.72722453481668,23,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2636697578430176,0.350274543762207,0.7527516987418209,97.79878133522118,50,50,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.20793855667114258,0.27516927719116213,0.755675047715033,95.267073644881,50,50,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.22078464508056642,0.33521663665771484,0.6586327196701953,97.30398180616486,50,50,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5569587326049805,0.8506317138671875,0.6547589556388685,84.62615890328267,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.030981121063232423,0.05606912136077881,0.5525522838833744,17.775309256111946,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.007480319738388062,0.01480191946029663,0.5053614673727022,0.002190280706307161,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010608639717102051,0.021544959545135498,0.4923954345273909,4.179150690594946,50,50,1.0,0.001953125,0,True
