case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,formula_score_before,display_score_before,projected_score_after
1,1.572,0.997,0.32616666666666644,0.8253183746337891,0.7627827453613282,0.9242284781309889,0.9214557926965958,65.0,65.0,67.6670542471246
2,0.251,0.11,0.033625000000000016,0.11108863830566407,0.10383872032165527,0.9347375384685118,0.1028211292315363,74.0,74.0,75.85376816670565
3,1.676,1.197,0.43858333333333405,1.2013158416748047,1.0791629028320313,0.8983173828187642,1.0752859072340608,62.00000000000001,62.0,66.02657076889281
4,22.434,18.0,7.900333333333337,18.11037826538086,16.189256940569198,0.8939215240752864,16.090587433355154,59.0,59.0,63.957566195935264
5,0.634,0.387,0.12456249999999999,0.3874969482421875,0.3564441680908203,0.9198631620397716,0.3559870437093916,66.0,66.0,68.76280197178389
6,6.059,4.72,2.3463181818181806,4.726923509077593,4.249397277832031,0.898977372845463,4.243173199830585,61.0,61.0,66.18517582818262
7,2.017,1.367,0.5312857142857145,1.3705625915527344,1.2489421081542968,0.9112623647048096,1.2456956525514746,64.0,64.0,67.52865449690901
8,6.63,4.954,1.9829090909090905,4.959658668154762,4.481680828592052,0.9036268679875622,4.476567504010383,61.0,61.0,65.0784770535014
9,0.502,0.287,0.1116052631578947,0.28813312530517576,0.2636697578430176,0.9150969974859787,0.2626328382784759,69.0,69.0,72.10540242179941
10,0.408,0.232,0.07555555555555553,0.22744064331054686,0.20793855667114258,0.914254170426452,0.21210696753893687,68.0,68.0,70.88430311017143
11,0.43,0.243,0.061499999999999944,0.24371711730957032,0.22078464508056642,0.9059053689697347,0.22013500465964553,67.0,67.0,69.90619039574669
12,1.162,0.7,0.2515882352941174,0.6006425476074219,0.5569587326049805,0.9272715275059187,0.649090069254143,67.0,67.0,69.60794395245347
13,0.408,0.033,-0.04735714285714287,0.03182591915130615,0.030981121063232423,0.9734556578222484,0.0321240367081342,85.0,85.0,85.13921380852321
14,0.106,0.005,-0.0006111111111111042,0.008893439769744873,0.007480319738388062,0.8411053464190325,0.0042055267320951625,95.0,95.0,95.67734438826278
15,0.104,0.011,0.0007926829268292567,0.010844160318374634,0.010608639717102051,0.9782813427358216,0.010761094770094036,90.99999999999999,91.0,91.19209397747723
