case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7596543788909912,1.1495679855346679,0.6608172708790889,89.64052820364458,20,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10489599704742432,0.13153280019760133,0.797489271800185,81.96998400341845,20,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.075660800933838,1.4640000343322754,0.7347409670140087,127.80284248031802,20,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,16.189623151506698,21.864703369140624,0.7404455884069475,135.83747149020783,7,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3568639993667603,0.46504960060119627,0.7673676074668632,96.37647075925118,20,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.246694564819336,5.825551201315487,0.728977296407656,129.4865979228703,20,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.2439423561096192,1.8168319702148437,0.6846766109925514,110.59449059219648,20,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.479462432861328,6.2933759689331055,0.711774166198546,122.78800360262498,20,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.26414079666137696,0.3459712028503418,0.7634762502925351,97.62437805114166,20,20,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2086656093597412,0.270963191986084,0.770088394037142,94.93513498838192,20,20,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2212224006652832,0.3307775974273682,0.6687949921211306,97.1114363798304,20,20,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5524991989135742,0.8464127540588379,0.6527538677366947,85.30922452137875,20,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03170560002326965,0.05434880256652832,0.5833725588426507,17.369140076069407,20,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008191999793052674,0.015462400019168853,0.5298013104626055,0.0020000000505242506,20,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.010982400178909302,0.020287999510765077,0.5413249430079046,4.036923011159393,20,20,1.0,0.001953125,0,True
