case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8231936454772949,1.1494912147521972,0.7161373961911973,82.72150805600236,5,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10767359733581543,0.13214720487594606,0.8148004147109629,79.85544657882386,5,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.2135935783386231,1.4656384468078614,0.828030665394874,113.27722093931658,5,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,18.498150634765626,21.858866882324218,0.8462538673367294,118.88526138104204,5,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3590656042098999,0.4646912097930908,0.7726972162218823,95.78554001483981,5,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.8359935760498045,5.828366173638238,0.8297339995422826,113.70776717721942,5,18,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.4236672401428223,1.8167295455932617,0.7836429167985579,96.632954191036,5,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.139456176757813,6.290927886962891,0.8169631362980095,107.01993176464416,5,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2659327983856201,0.3457024097442627,0.7692535281496792,96.96653120089292,5,20,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.21099519729614258,0.2707200050354004,0.7793853183053541,93.88696067899627,5,20,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.22318079471588134,0.33251841068267823,0.6711832714997017,96.25929110678659,5,20,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5963263988494873,0.8465791702270508,0.7043953121236776,79.03939570499617,5,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03343360126018524,0.05200639963150024,0.642874751897544,16.471423575174526,5,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.009779199957847595,0.01562879979610443,0.6257166311827168,0.001675392677378705,5,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.012851199507713318,0.020313599705696107,0.6326401865696769,3.4498806102410886,5,20,1.0,0.001953125,0,True
