case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7619584083557129,1.1489919662475585,0.6631538172056667,89.36947086514745,5,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10470399856567383,0.13345279693603515,0.7845770262564012,82.120294523488,5,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.0763263702392578,1.4661248207092286,0.7341301061382971,127.72381287419455,5,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,16.189849853515625,21.856614685058595,0.7407299843457995,135.83556939550326,5,5,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.32286720275878905,0.46496000289916994,0.694397799263618,106.52457885508703,5,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.24714241027832,5.8291341993543835,0.7286060442301568,129.4729440400293,5,18,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.245952033996582,1.81658878326416,0.6858745608666468,110.41610547294745,5,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.479743957519531,6.292223930358887,0.7119492260765777,122.78028712349727,5,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.24181759357452393,0.34561278820037844,0.6996777950077576,106.6364965874703,5,20,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.18933759927749633,0.27051520347595215,0.6999148175208858,104.62632814397618,5,20,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.22650880813598634,0.33294079303741453,0.680327592391276,94.84498755166456,5,20,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5536255836486816,0.8463104248046875,0.6541637293153372,85.1356577442955,5,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.0389631986618042,0.05190399885177612,0.7506781659169003,14.133824401328035,5,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.009779199957847595,0.015436799824237823,0.6334991752949309,0.001675392677378705,5,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.018483200669288637,0.020377600193023683,0.9070352001319764,2.3986702732534,5,20,1.0,0.001953125,0,True
