case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.592,0.915,5.702774359648856e-07,0.7596543788909912,0.7601408004760742,1.000640319596121,0.9155858924304509,63.502199999999995,63.48736283117883
2,0.25,0.104,2.667119268742009e-07,0.10489599704742432,0.10263204574584961,0.9784171811575311,0.10175538684038322,70.6215,71.07214892982206
3,1.612,1.077,-4.870374652247386e-06,1.075660800933838,1.0759936332702638,1.000309421274938,1.077333246713108,59.9479,59.940471627819186
4,22.077,16.19,-1.534061361559049e-05,16.189623151506698,16.1885256086077,0.9999322070137936,16.18890243155332,57.692,57.69365475956484
5,0.619,0.356,7.414437390914102e-07,0.3568639993667603,0.32208640575408937,0.9025466461330304,0.3213066060233588,63.4872,65.82961671972208
6,6.042,4.237,-2.164009111339644e-05,4.246694564819336,4.245132827758789,0.9996322464362084,4.235441828150215,58.78,58.788911649140324
7,2.015,1.247,-2.641884486839095e-06,1.2439423561096192,1.2440959930419921,1.0001235080802726,1.2471540145761,61.7719,61.76898359643927
8,6.59,4.471,3.6539404537211804e-08,4.479462432861328,4.478374481201172,0.9997571245040086,4.469914103657422,59.5787,59.584549619829474
9,0.497,0.263,-9.094038857998571e-07,0.26414079666137696,0.23903999328613282,0.9049718797985498,0.2380076043870186,65.3947,67.61830443528504
10,0.396,0.212,4.2295593335844046e-07,0.2086656093597412,0.18701419830322266,0.8962387183831939,0.1900026082972371,65.1316,67.5765163968307
11,0.393,0.221,-3.2127940588823474e-07,0.2212224006652832,0.22147839069366454,1.0011571614249348,0.2212557326749106,64.0065,63.979852244898666
12,1.165,0.649,-7.804425315388472e-07,0.5524991989135742,0.5521791934967041,0.9994208038355541,0.6486241016892746,64.2227,64.23601101833108
13,0.142,0.033,1.2041267834351443e-07,0.03170560002326965,0.03162130117416382,0.9973412000074448,0.03291225960024568,81.1429,81.18360338066584
14,0.101,0.005,-2.2083342539827752e-08,0.008191999793052674,0.008232349902391434,1.0049255505808214,0.005024627752904107,95.283,95.2608673573096
15,0.101,0.01,1.2197799509509756e-08,0.010982400178909302,0.011358000338077545,1.0342001887610641,0.010342001887610641,90.991,90.71150888212567
