case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7766528129577637,1.1497471809387207,0.6754987755861762,87.67858512823442,5,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10511360168457032,0.13292800188064574,0.7907558994150111,81.8002909442894,5,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.082265567779541,1.4650752067565918,0.7387099056679,127.02289714903259,5,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,13.679513549804687,21.860044860839842,0.6257770117530826,160.7628418417992,5,5,0.9915515184402466,0.06267166137695312,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.32670719623565675,0.464844799041748,0.7028307015785605,105.27252902991405,5,20,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.289587020874023,5.827982160780165,0.736032970337678,128.19183500419052,5,18,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.2595199584960937,1.8163839340209962,0.6934216576711554,109.22667026592153,5,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.517273712158203,6.291903972625732,0.7179501994645124,121.76022184877009,5,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.24325120449066162,0.34574079513549805,0.7035652370595431,106.0080300362498,5,20,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.1903615951538086,0.2704511880874634,0.7038667365448809,104.0635206696715,5,20,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.22277119159698486,0.33271040916442873,0.6695648391538275,96.43628035560936,5,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5634560108184814,0.8461824417114258,0.6658800549901238,83.65032460925168,5,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03338240087032318,0.051801598072052,0.6444280121221522,16.496686686474046,5,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.009881599992513656,0.01555200070142746,0.6353909173632343,0.0016580310893390333,5,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.013107199966907502,0.020377600193023683,0.6432160726852802,3.3825000085399917,5,20,1.0,0.001953125,0,True
