case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7739903926849365,1.148953628540039,0.6736480685199074,87.98018737645926,5,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10588159561157226,0.13190399408340453,0.8027171303442261,81.20696661526559,5,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.0850303649902344,1.4667776107788086,0.7397374741860973,126.69922643615351,5,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,13.683404541015625,21.856460571289062,0.6260576590790884,160.7171275750919,5,5,0.9904537200927734,0.08673095703125,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3264512062072754,0.4653183937072754,0.7015652306507376,105.3550795525702,5,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.2863616943359375,5.830701042624081,0.7351365921527131,128.28829455587774,5,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.259008026123047,1.8167423248291015,0.6930030796973259,109.27108353998256,5,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.519731140136718,6.29204797744751,0.7183243287935376,121.69401946491935,5,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.24325120449066162,0.34673919677734377,0.7015393896954307,106.0080300362498,5,20,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.19092479944229127,0.27080960273742677,0.7050148795034026,103.7565462939646,5,20,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.2233344078063965,0.33240320682525637,0.6718780180836309,96.19308237816772,5,20,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5634560108184814,0.8477055549621582,0.6646836363407271,83.65032460925168,5,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.03374080061912536,0.05392640233039856,0.6256823960256203,16.321456453165673,5,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.010188800096511842,0.017612800002098083,0.5784883775037544,0.0016080401857731118,5,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.013107199966907502,0.02056960016489029,0.6372121899228668,3.3825000085399917,5,20,1.0,0.001953125,0,True
