case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.592,0.915,5.702774359648856e-07,0.7577190399169922,0.7706214141845703,1.0170279134981108,0.9305805408507715,63.502199999999995,63.10998296171854
2,0.25,0.104,2.667119268742009e-07,0.10415103912353516,0.10293760299682617,0.9883492652889453,0.1027883235900503,70.6215,70.86405489552217
3,1.612,1.077,-4.870374652247386e-06,1.0745906829833984,1.0796339416503906,1.004693190390401,1.082054566050462,59.9479,59.8354265822825
4,22.077,16.19,-1.534061361559049e-05,16.189183916364396,13.669088363647461,0.8443346146577799,13.669777411309457,57.692,61.759403198919216
5,0.619,0.356,7.414437390914102e-07,0.3562752151489258,0.32418815612792967,0.909937436968262,0.32393772756070127,63.4872,65.64592909150254
6,6.042,4.237,-2.164009111339644e-05,4.244970639546712,4.284202575683594,1.0092419805619837,4.276158271641125,58.78,58.5569259307928
7,2.015,1.247,-2.641884486839095e-06,1.2439500427246093,1.258593292236328,1.0117715736233635,1.2616791523083344,61.7719,61.49516931501506
8,6.59,4.471,3.6539404537211804e-08,4.477762636931046,4.515806446904722,1.008496164950751,4.508986353494807,59.5787,59.37479150765828
9,0.497,0.263,-9.094038857998571e-07,0.2635622406005859,0.2408857536315918,0.9139615488268704,0.24037188734146694,65.3947,67.40149604728335
10,0.396,0.212,4.2295593335844046e-07,0.20799999237060546,0.18844160079956054,0.9059692678440265,0.19206548478293362,65.1316,67.33946421337018
11,0.393,0.221,-3.2127940588823474e-07,0.2205081558227539,0.22037504196166993,0.9993963313484379,0.22086658922800476,64.0065,64.02041042905623
12,1.165,0.649,-7.804425315388472e-07,0.5520742416381836,0.5614284896850585,1.0169438226625422,0.65999654090799,64.2227,63.83572559872381
13,0.142,0.033,1.2041267834351443e-07,0.03122175931930542,0.030965759754180908,0.9918006041073342,0.03272941993554203,81.1429,81.2685553211325
14,0.101,0.005,-2.2083342539827752e-08,0.0077772802114486695,0.0074291199445724486,0.9552336732880338,0.004776168366440169,95.283,95.48462708637165
15,0.101,0.01,1.2197799509509756e-08,0.010608639717102051,0.01079807996749878,1.0178571669364296,0.010178571669364296,90.991,90.84485296745137
