case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7706214141845703,1.1488972473144532,0.67074876886153,88.36481639697918,50,50,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10293760299682617,0.131911678314209,0.7803524624380292,83.52946784922813,50,50,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.0796339416503906,1.4633676147460937,0.7377735647359642,127.33251762523473,50,50,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,13.669088363647461,21.868083190917968,0.6250702562410394,160.88545298518918,8,5,0.9904537200927734,0.08673095703125,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.32418815612792967,0.46372352600097655,0.69909792786154,106.09052844739915,50,50,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.284202575683594,5.825310202205882,0.7354462555592809,128.3529482795894,24,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.258593292236328,1.8156544494628906,0.693189881262179,109.30709074061048,50,50,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.515806446904722,6.290751934051514,0.71784843755496,121.79978389485764,23,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2408857536315918,0.34533889770507814,0.6975343792210454,107.0490081013165,50,50,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.18844160079956054,0.2701158332824707,0.6976325619627777,105.12380338495934,50,50,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.22037504196166993,0.3310847854614258,0.6656151283259301,97.48483719738373,50,50,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5614284896850585,0.8464486694335938,0.66327529353994,83.95241615622338,50,50,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.030965759754180908,0.052275199890136716,0.5923604274925696,17.78412712530479,50,50,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.0074291199445724486,0.014863359928131103,0.49982776306935434,0.0022053756194863683,50,50,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.01079807996749878,0.01969663977622986,0.5482193963119553,4.105832160295586,50,50,1.0,0.001953125,0,True
