case_id,online_baseline_ms,online_before_ms,inferred_hardware_ms,local_before_ms,local_after_ms,local_ratio,projected_online_ms,online_score_before,projected_score_after
1,1.592,0.915,5.702774359648856e-07,0.7596543788909912,0.7739903926849365,1.018871758252581,0.9322676588011117,63.502199999999995,63.06780279400219
2,0.25,0.104,2.667119268742009e-07,0.10489599704742432,0.10588159561157226,1.0093959597304971,0.1049771798119717,70.6215,70.4270931149462
3,1.612,1.077,-4.870374652247386e-06,1.075660800933838,1.0850303649902344,1.0087105191973735,1.0863812291755712,59.9479,59.73948506133384
4,22.077,16.19,-1.534061361559049e-05,16.189623151506698,13.683404541015625,0.8451959883786528,13.683723051850391,57.692,61.735318850936416
5,0.619,0.356,7.414437390914102e-07,0.3568639993667603,0.3264512062072754,0.9147776373816047,0.32566083890785125,63.4872,65.52618725589706
6,6.042,4.237,-2.164009111339644e-05,4.246694564819336,4.2863616943359375,1.009340706968948,4.276576575427432,58.78,58.554552107144474
7,2.015,1.247,-2.641884486839095e-06,1.2439423561096192,1.259008026123047,1.0121112284178062,1.2621027018370043,61.7719,61.487221377353784
8,6.59,4.471,3.6539404537211804e-08,4.479462432861328,4.519731140136718,1.0089896294207044,4.511192633139969,59.5787,59.36299120843544
9,0.497,0.263,-9.094038857998571e-07,0.26414079666137696,0.24325120449066162,0.9209149346305056,0.24220062780782298,65.3947,67.23474897565373
10,0.396,0.212,4.2295593335844046e-07,0.2086656093597412,0.19092479944229127,0.9149797133706655,0.19397569923458108,65.1316,67.12143319563761
11,0.393,0.221,-3.2127940588823474e-07,0.2212224006652832,0.2233344078063965,1.0095469859054138,0.22310988388509645,64.0065,63.78730834997109
12,1.165,0.649,-7.804425315388472e-07,0.5524991989135742,0.5634560108184814,1.0198313625186288,0.6618705542745902,64.2227,63.77024263358031
13,0.142,0.033,1.2041267834351443e-07,0.03170560002326965,0.03374080061912536,1.0641905718346922,0.03511828887054484,81.1429,80.17245060824813
14,0.101,0.005,-2.2083342539827752e-08,0.008191999793052674,0.010188800096511842,1.2437500432009994,0.006218750216004997,95.283,94.19992331087849
15,0.101,0.01,1.2197799509509756e-08,0.010982400178909302,0.013107199966907502,1.1934731710176327,0.011934731710176328,90.991,89.43219511860698
