case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.7734015941619873,1.150873565673828,0.672012649546926,88.0471675905771,10,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.10309120416641235,0.13328640460968016,0.773456261111609,83.4050127702493,10,20,1.0,0.00390625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.080396842956543,1.4632448196411132,0.7383568548847004,127.24260423401624,10,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,13.670975685119629,21.858918762207033,0.6254186601743567,160.86324223908207,8,5,0.9904537200927734,0.08673095703125,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.3249151945114136,0.4650239944458008,0.6987062998730551,105.8531376217059,10,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.285209655761719,5.827749813304228,0.7353111909469708,128.3227836651213,10,17,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.2588031768798829,1.8167680740356444,0.6928805029492089,109.28886558818041,10,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.5163520812988285,6.290319919586182,0.7179844807632525,121.785068888124,10,16,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.2427903890609741,0.3461375951766968,0.70142738738632,106.20923295906901,10,20,1.0,0.00390625,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.1913599967956543,0.2705535888671875,0.7072905504483673,103.52057965988568,10,20,1.0,0.00390625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.22177278995513916,0.33169920444488527,0.6685960864039053,96.87042802836943,10,20,1.0,0.00390625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.5623295783996582,0.8471551895141601,0.6637857919776798,83.81788904317868,10,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.032204800844192506,0.05288959741592407,0.6089061444528266,17.099904162248766,10,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.008524800091981888,0.015500800311565399,0.5499587066882861,0.0019219219011845433,10,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.012057600170373916,0.02054399996995926,0.5869158970018158,3.676942623204028,10,20,1.0,0.001953125,0,True
