case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,1.1597396850585937,1.2087125142415365,0.959483476338728,58.71646943991537,30,30,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17429332733154296,0.17247573534647623,1.010538247489802,49.33248639888641,30,30,1.0,0.0009765625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6534613291422526,1.8537386576334636,0.8919603215553099,83.14225768758381,30,30,1.0,0.00048828125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,22.95659484863281,26.594816207885742,0.8631981010579743,95.79632727677692,5,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.5255509376525879,0.549836794535319,0.9558307899287538,65.44235836324484,30,30,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,6.151710061465993,6.931831359863281,0.8874581250036823,89.3881581091547,17,15,1.0,0.001953125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.9501227060953776,2.0145493825276692,0.9680193114196809,70.54590501920524,30,30,1.0,0.001953125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,6.613520812988281,7.21150153023856,0.9170795825608739,83.16663164706587,15,14,1.0,0.001953125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3678293228149414,0.3945898691813151,0.9321813648639895,70.10474530594584,30,30,1.0,0.00048828125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.27956053415934246,0.3072085380554199,0.9100024886317131,70.86013714907617,30,30,1.0,0.000244140625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3039658546447754,0.34043734868367515,0.8928687049763507,70.67644197439877,30,30,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.8606378555297851,0.8703061421712239,0.9888909359902729,54.765518278284475,30,30,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04778666496276855,0.04767573277155558,1.0023268062128068,11.524114696622153,30,30,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.009070932865142822,0.018244266510009766,0.49719361752175845,0.0018062089361237967,30,30,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.020360533396402994,0.02121386726697286,0.9597747143493071,2.1775020888122945,30,30,1.0,0.0,0,True
