case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,1.1661055564880372,1.213145637512207,0.9612247041331041,58.39593113773023,20,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17967360019683837,0.18492499589920045,0.9716025641810774,47.85523967116066,20,20,1.0,0.0009765625,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6597503662109374,1.858367919921875,0.8931225880614172,82.82721950400138,20,20,1.0,0.00048828125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,22.96468505859375,26.582719802856445,0.8638952382940922,95.76257926764123,5,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.532147216796875,0.5556863784790039,0.9576394840799246,64.63116166804683,20,20,1.0,0.00390625,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,6.157297022202435,6.934783935546875,0.8878859210942197,89.30704977089232,17,15,1.0,0.001953125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.9567487716674805,2.020492744445801,0.968451273604645,70.30701804543075,20,20,1.0,0.001953125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,6.618350728352865,7.216292790004185,0.917139994308494,83.1059386121241,15,14,1.0,0.001953125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.7464320182800293,0.40049920082092283,1.863754076787247,34.54645615473314,20,20,1.0,0.00048828125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2853503942489624,0.3136768102645874,0.9096955366520989,69.42235998705662,20,20,1.0,0.000244140625,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3096191883087158,0.346777606010437,0.8928465475922259,69.38596152696924,20,20,1.0,0.000244140625,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.867302417755127,0.8753024101257324,0.9908603103589578,54.34468674720973,20,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.05603839755058289,0.05472000241279602,1.0240934773328623,9.827172654302137,20,20,1.0,0.00390625,0,True
14,single_token,1,1,1,1,1,1,1,0.010828799754381179,0.02366719990968704,0.457544610080761,0.0015130023983841113,20,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.02680320143699646,0.028019198775291444,0.9566012808557786,1.654097332522534,20,20,1.0,0.0,0,True
