case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.944486427307129,1.2080896377563477,0.7818016128846366,72.09825129001726,10,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.18826240301132202,0.17568000555038452,1.0716211126105009,45.672014499267284,10,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6312320709228516,1.8573312759399414,0.8782666248363973,84.27526061710303,10,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,22.1712890625,26.59494400024414,0.8336655667444335,99.18942769095025,5,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4784895896911621,0.5489151954650879,0.871700389503236,71.87887373307102,10,20,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6731391906738282,2.015884780883789,0.8299775892649496,82.22458236997889,10,20,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.34990079402923585,0.3970047950744629,0.8813515563800882,73.69683473723529,10,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2850559949874878,0.30760960578918456,0.9266810581423991,69.49405780036138,10,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.35041279792785646,0.3405312061309814,1.029018168141319,61.308334669965454,10,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6971648216247559,0.870297622680664,0.8010648351277465,67.60708048658422,10,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.048563200235366824,0.0474368005990982,1.0237452699600915,11.339841800601638,10,20,1.0,0.0078125,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.025804799795150758,0.022579200565814972,1.1428571051456693,1.7180952517341934,10,20,1.0,0.0078125,0,True
