case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,1.2038911819458007,1.208243179321289,0.9963980782594336,56.563102045435265,10,20,0.04628941789269447,5.578125,42896287,False
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.22515199184417725,0.17527040243148803,1.2845979054118255,38.18897238959676,10,20,0.051724910736083984,4.890625,2552357,False
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.9963647842407226,1.8538368225097657,1.0768826899974937,68.86141700615347,10,20,0.051601946353912354,4.2578125,10073468,False
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,25.641279220581055,26.59334373474121,0.9641991423246115,85.76629326335791,4,4,0.052192240953445435,4.796875,40369642,False
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.5817599773406983,0.5490816116333008,1.0595145876588221,59.119386241068504,10,20,0.04802459478378296,5.671875,10567495,False
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,2.0156671524047853,2.014438438415527,1.000609953605842,68.25192891389273,10,20,0.04821489751338959,7.359375,42119398,False
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.45096960067749026,0.39555840492248534,1.140083474565187,57.180308724270766,10,20,0.05187571048736572,1.453125,5046874,False
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.3831808090209961,0.30892798900604246,1.2403564023248839,51.698042609734514,10,20,0.05170043557882309,1.3779296875,3832340,False
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.48404479026794434,0.3410815954208374,1.4191466111524265,44.38272143391503,10,20,0.05105304718017578,1.22607421875,2519797,False
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.874623966217041,0.8710528373718261,1.0040997844126078,53.88976294791322,10,20,0.04629369452595711,5.828125,32226746,False
13,ragged_short,15,123,969,969,123,123,33612,0.06402559876441956,0.04824320077896118,1.3271424310706406,8.601231673385547,10,20,0.03424494341015816,5.171875,2898329,False
15,non_power_of_two,2,65,98,98,65,65,2706,0.031590399146080014,0.023014399409294128,1.3726362606413511,1.4034360184873274,10,20,0.033352598547935486,6.0625,296096,False
