case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9241600036621094,1.2089728355407714,0.7644175092228058,73.68401522048246,3,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17783466974894205,0.17177599668502808,1.0352707781112356,48.35009513127376,3,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6337067286173503,1.8698240280151368,0.8737221814138143,84.14760464403955,3,20,1.0,0.0078125,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.35791015625,26.576000213623047,0.8036540481852413,102.96688473691594,3,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4911786715189616,0.5496831893920898,0.8935668417696564,70.0219590024936,3,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.599658966064453,6.930158996582032,0.8080130584054732,98.20062881480676,3,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6734719276428223,2.014758491516113,0.830606712759666,82.20823362945767,3,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.835434595743815,7.211062840053013,0.8092336352044487,94.25591878712352,3,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3617279926935832,0.39623680114746096,0.9129086234445064,71.28721446184454,3,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2993493278821309,0.30969600677490233,0.9665908546883792,66.17585525296414,3,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.34909868240356445,0.3399296045303345,1.0269734608313932,61.53911822321059,3,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6972586313883463,0.8707584381103516,0.8007486357542279,67.59798457302793,3,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.05384533107280731,0.04911360144615173,1.0963425504815292,10.227423567242418,3,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.018944000204404194,0.01908479928970337,0.9926224487267655,0.0008648648555330446,3,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.02935466667016347,0.022655999660491942,1.2956685694762267,1.5103255812154348,3,20,1.0,0.00390625,0,True
