case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9278293450673422,1.2093695640563964,0.7672008397129422,73.39261270191619,3,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17800533771514893,0.17569279670715332,1.0131624121838654,48.30373802475166,3,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6197120348612468,1.8559232711791993,0.8727257532754192,84.87465978221037,3,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.322580973307293,26.58483123779297,0.8020581655224177,103.13748959532708,3,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4793173472086589,0.5508096218109131,0.87020510940385,71.75474244838406,3,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.595136006673177,6.932326253255209,0.8071080041920808,98.28001159581467,3,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6638293266296387,2.0151039123535157,0.8256791704038675,82.68466542699858,3,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.859498977661133,7.213421957833426,0.8123050352403135,93.86881906472262,3,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.36189866065979004,0.39536640644073484,0.9153500519120064,71.25359608954503,3,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2945706645647685,0.3081599950790405,0.9559017045324574,67.24939097811743,3,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3477333386739095,0.34065918922424315,1.0207660608415576,61.78074604502076,3,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6960639953613281,0.8700544357299804,0.8000235005724977,67.71400118682051,3,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.05043200155099233,0.04925439953804016,1.0239085650012378,10.919634181942637,3,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.021759999295075733,0.01903360038995743,1.143241365230974,0.0007529412008624322,3,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.02961066613594691,0.02252800017595291,1.3143939055697567,1.497268038363306,3,20,1.0,0.0078125,0,True
